i yellow olivedrab orange cyan
1 0 0 0 0
2 0 0 0 0
3 0 0 0 0
4 0 0 0 0
5 0 0.0303786 0 0.001586942
6 0 0 0 0
7 0 0 0 0
8 0 0 0 0.09476309
9 0 0 0 0
10 0 0 0 0
11 0 0 0 0
12 0 0 0 0
13 0 0 0 0
14 0 0 0 0
15 0 0 0 0
16 0 0 0.009748356 0.003173883
17 0 0.03990025 0 0
18 0 0.02380413 0 0
19 0 0.04058037 0 0
20 0 0 0 0
21 0.1299025 0 0 0
22 0.007708003 0 0 0.09476309
23 0 0 0 0
24 0 0 0 0.03763319
25 0.01201542 0 0 0.01224212
26 0 0.05191567 0 0
27 0 0 0 0
28 0 0 0 0
29 0 0 0 0.01677624
30 0 0 0 0
31 0 0 0 0.1373838
32 0 0 0 0
33 0 0 0.008614827 0.005214237
34 0 0 0 0.01564271
35 0 0 0 0
36 0 0 0 0
37 0 0 0.02153707 0.1562004
38 0 0 0 0
39 0 0 0 0.01382906
40 0 0 0 0.01881659
41 0 0 0 0.04670143
42 0 0 0 0
43 0 0 0 0.0720925
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0.0190433 0.01813648 0
48 0 0 0 0.005894355
49 0 0 0 0
50 0 0 0 0
51 0 0 0 0
52 0 0 0 0
53 0 0 0 0
54 0 0 0 0
55 0.007254591 0 0 0.05463614
56 0 0.1267286 0 0
57 0 0 0 0.02629789
58 0 0 0 0
59 0.03332578 0 0 0.02629789
60 0 0 0 0.02244389
61 0 0 0 0
62 0 0 0 0
63 0 0 0 0
64 0 0 0 0.004307413
65 0 0 0 0.02539107
66 0 0 0 0
67 0 0 0 0
68 0 0 0 0
69 0 0 0 0
70 0 0 0 0
71 0 0 0 0
72 0 0 0 0
73 0 0.000226706 0 0
74 0 0 0 0.009294944
75 0 0 0 0
76 0 0 0 0
77 0 0 0 0
78 0 0 0 0.01020177
79 0 0 0 0
80 0 0 0 0.01246883
81 0 0 0 0
82 0 0 0 0
83 0.001586942 0 0 0.002947178
84 0 0.05508955 0 0
85 0 0 0 0
86 0 0 0 0
87 0 0 0 0.006347767
88 0 0 0 0
89 0 0 0 0.04239401
90 0 0 0 0
91 0 0 0 0.02335071
92 0.07753344 0 0 0.02153707
93 0 0 0 0
94 0 0 0 0
95 0 0 0 0
96 0 0 0 0
97 0 0 0 0
98 0 0 0 0
99 0 0 0 0
100 0 0 0 0
