i yellow olivedrab orange cyan
1 0 0 0 0
2 0 0 0 0
3 0 0 0 0
4 0 0 0 0
5 0 0.02561777 0 0
6 0 0 0 0
7 0 0 0 0
8 0 0 0 0.1004307
9 0 0 0 0
10 0 0 0 0
11 0 0 0 0
12 0 0 0 0
13 0 0 0 0
14 0 0 0 0
15 0 0 0 0
16 0 0 0 0.003173883
17 0 0.02833825 0 0
18 0 0.01450918 0 0
19 0 0.03287236 0 0
20 0 0 0 0
21 0.132623 0 0 0
22 0.007708003 0 0 0.2879166
23 0 0 0 0
24 0 0 0 0.06823849
25 0.003173883 0 0 0.003400589
26 0 0.03355248 0 0
27 0 0 0 0
28 0 0 0 0
29 0 0 0 0.02040354
30 0 0 0 0
31 0 0 0 0.03944684
32 0 0 0 0
33 0 0 0 0.002947178
34 0 0 0 0.0228973
35 0 0 0 0
36 0 0 0 0
37 0 0 0 0.1160735
38 0 0 0 0
39 0 0 0 0.01609612
40 0 0 0 0
41 0 0 0 0.02856495
42 0 0 0 0
43 0 0 0 0.259805
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0.009975062 0.01246883 0
48 0 0 0 0.006121061
49 0 0 0 0
50 0 0 0 0
51 0 0 0 0
52 0 0 0 0
53 0 0 0 0
54 0 0 0 0
55 0.007254591 0 0 0.03513942
56 0 0.1063251 0 0
57 0 0 0 0.02153707
58 0 0 0 0
59 0.04443437 0 0 0.01473589
60 0 0 0 0.01586942
61 0 0 0 0
62 0 0 0 0
63 0 0 0 0
64 0 0 0 0
65 0 0 0 0.07889367
66 0 0 0 0
67 0 0 0 0
68 0 0 0 0
69 0 0 0 0
70 0 0 0 0
71 0 0 0 0
72 0 0 0 0
73 0 0 0 0
74 0 0 0 0.001360236
75 0 0 0 0
76 0 0 0.005894355 0
77 0 0 0 0
78 0 0 0 0.004307413
79 0 0 0 0
80 0 0 0 0.01496259
81 0 0 0 0
82 0 0 0 0
83 0 0 0 0
84 0 0.05010202 0 0
85 0 0 0 0
86 0 0 0 0
87 0 0 0 0
88 0 0 0 0
89 0 0 0 0.2446157
90 0 0 0 0
