i white black
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0.1960784
9 0 0
10 0 0.001782531
11 0 0
12 0 0
13 0 0
14 0.003565062 0
15 0 0
16 0 0
17 0 0
18 0 0
19 0 0
20 0 0
21 0 0
22 0 0.1996435
23 0 0
24 0 0.07486631
25 0 0.01604278
26 0 0
27 0 0
28 0 0
29 0 0.02495544
30 0 0
31 0 0.2834225
32 0 0
33 0.02317291 0.003565062
34 0 0.02673797
35 0 0
36 0 0
37 0.04456328 0.3262032
38 0 0
39 0 0.03030303
40 0 0.04099822
41 0 0.1016043
42 0 0
43 0 0.1622103
44 0 0
45 0 0
46 0 0
47 0.06060606 0
48 0 0.005347594
49 0 0
50 0 0
51 0 0
52 0 0
53 0 0
54 0 0
55 0 0.1336898
56 0 0
57 0 0.06060606
58 0 0
59 0 0.04099822
60 0 0.03743316
61 0 0
62 0 0
63 0 0
64 0 0.005347594
65 0 0.06238859
66 0 0
67 0 0
68 0 0
69 0 0
70 0 0
71 0 0
72 0 0
73 0 0
74 0 0.007130125
75 0 0
76 0.01247772 0.005347594
77 0 0.001782531
78 0 0.01069519
79 0 0
80 0 0.02673797
81 0 0
82 0 0
83 0 0
84 0 0
85 0 0
86 0 0
87 0 0
88 0 0
89 0 0.09090909
90 0 0
91 0 0.06951872
92 0 0.0285205
93 0 0
94 0 0
95 0 0
96 0 0
97 0 0
98 0 0
99 0 0
100 0 0
101 0.01782531 0
102 0 0
103 0 0
104 0 0
105 0 0
106 0 0
107 0 0
108 0 0
109 0 0.2032086
110 0.001782531 0
111 0 0.0285205
112 0 0.01782531
113 0 0
114 0 0.2673797
115 0 0
116 0.2531194 0.1301248
117 0 0
118 0 0
119 0 0
120 0 0
121 0.1247772 0.01960784
122 0 0
123 0 0.08199643
124 0.1069519 0
125 0 0.005347594
126 0 0.01247772
127 0 0
128 0 0
129 0 0
130 0 0.1907308
131 0 0.3101604
132 0 0.1051693
133 0 0
134 0 0
135 0 0.01247772
136 0 0.06595365
137 0 0
138 0 0
139 0 0
140 0 0
141 0 0
142 0 0
143 0 0
144 0 0
145 0 0.2976827
146 0 0
147 0 0
148 0.1087344 0
149 0 0
150 0 0
151 0 0
152 0.03743316 0.005347594
153 0 0
154 0 0
155 0 0
156 0 0
157 0 0
158 0 0.02495544
159 0 0
160 0 0
161 0 0.0285205
162 0 0
163 0 0
164 0 0
165 0 0
166 0 0.005347594
167 0 0
168 0 0
169 0.06951872 0.01069519
170 0.1390374 0.01782531
171 0 0.2816399
172 0 0.01604278
173 0 0.02673797
174 0 0
175 0 0.1283422
176 0 0
177 0 0
178 0 0.001782531
179 0 0.1871658
180 0 0
181 0 0
182 0 0
183 0 0
184 0 0.06060606
185 0 0
186 0 0
187 0 0.005347594
188 0 0
189 0 0
190 0 0
191 0 0
192 0 0.3101604
193 0 0
194 0 0.06773619
195 0.08377897 0.01782531
196 0 0.1515152
