i yellow olivedrab orange cyan
1 0 0 0.006574473 0
2 0 0 0 0
3 0 0 0 0
4 0 0 0.001813648 0
5 0 0 0.006121061 0.01065518
6 0 0 0 0.01949671
7 0 0 0.003173883 0
8 0 0 0 0.2394015
9 0 0 0 0.002040354
10 0 0 0 0.005894355
11 0 0 0 0
12 0 0 0.004080707 0.004534119
13 0 0 0 0
14 0.02516436 0 0 0.01110859
15 0 0 0 0
16 0 0 0.01337565 0.02312401
17 0 0 0 0
18 0 0 0 0.004987531
19 0 0 0 0
20 0 0 0.004534119 0
21 0.1262752 0 0 0.01496259
22 0.0380866 0 0 0.2620721
23 0 0 0 0
24 0 0 0 0.1004307
25 0.004080707 0 0 0.009294944
26 0 0 0.01292224 0
27 0 0 0 0
28 0 0 0.005667649 0
29 0 0 0.01405577 0.04511449
30 0 0 0 0
31 0 0 0.03264566 0.02471095
32 0 0 0 0.01224212
33 0 0 0.0303786 0.01428248
34 0 0 0 0.03763319
35 0 0 0 0
36 0 0 0 0
37 0 0 0.003400589 0.1088189
38 0 0 0 0
39 0 0 0 0.01722965
40 0 0 0 0.0113353
41 0 0 0.01700295 0.02788483
42 0 0 0 0
43 0 0 0 0.3101338
44 0 0 0.007254591 0.002947178
45 0 0 0 0
46 0 0 0 0
47 0 0 0.06415779 0
48 0 0 0.01949671 0.01700295
49 0 0 0.001586942 0.01042847
50 0 0 0 0.002947178
51 0 0 0 0
52 0 0 0 0
53 0 0 0.02425754 0
54 0 0 0 0
55 0.01088189 0 0 0.05078214
56 0 0 0.00113353 0
57 0 0 0.01405577 0.03309907
58 0 0 0 0
59 0.05259578 0 0 0.01564271
60 0 0 0.007481297 0.02085695
61 0 0 0 0
62 0 0 0.002720472 0
63 0 0 0.00113353 0
64 0 0 0 0.005894355
65 0 0 0.002720472 0.006801179
66 0 0 0 0
67 0 0 0 0
68 0 0 0 0
69 0 0 0 0
70 0 0 0 0
71 0 0 0 0.000226706
72 0 0 0.003400589 0
73 0 0 0 0
74 0 0 0 0.0004534119
75 0 0 0 0.005440943
76 0 0 0 0
77 0 0 0 0.005214237
78 0 0 0 0.005214237
79 0 0 0 0
80 0 0 0 0.01428248
81 0 0 0 0
82 0 0 0 0
83 0 0 0 0.001360236
84 0 0 0 0
85 0 0 0 0.0006801179
86 0 0 0 0.002947178
87 0 0 0.007254591 0.01224212
88 0 0 0 0.001360236
89 0 0 0 0.2629789
90 0 0 0 0.007481297
91 0 0 0 0.01745636
92 0.08320109 0 0 0.01428248
93 0 0 0 0
94 0 0 0 0
95 0 0 0 0
96 0 0 0.007027885 0
97 0 0 0 0
98 0 0 0 0
99 0 0 0 0
100 0 0 0 0
101 0 0 0 0
102 0 0 0 0
103 0 0 0.0004534119 0
104 0 0 0 0.004307413
105 0 0 0 0
106 0 0 0 0
107 0 0 0 0
108 0 0 0.002720472 0.005440943
109 0 0 0.006347767 0.005440943
110 0 0 0.04443437 0
111 0.1122195 0 0 0.02607119
112 0 0 0 0.006801179
113 0 0 0.006347767 0.007481297
114 0 0 0 0.05554296
115 0 0 0 0
116 0 0 0.1090456 0
117 0 0 0.001586942 0.004534119
118 0 0 0.0457946 0
119 0 0 0 0
120 0 0 0 0
121 0.002720472 0 0.3065065 0
122 0 0 0.01360236 0
123 0 0 0.006574473 0.2561777
124 0 0 0.2090229 0.004307413
125 0 0 0 0.003173883
126 0 0 0 0.008614827
127 0 0 0 0
128 0 0 0 0
129 0 0 0 0.005894355
130 0 0 0.01745636 0.01337565
131 0.1113126 0 0 0.05214237
132 0.1192473 0 0 0.03151213
133 0 0 0 0
134 0 0 0 0
135 0 0 0 0.005894355
136 0 0 0.0151893 0.01813648
137 0 0 0 0
138 0 0 0 0
139 0 0 0 0
140 0 0 0.005214237 0
141 0 0 0 0.005214237
142 0 0 0 0
143 0 0 0 0
144 0 0 0 0
145 0.02153707 0 0 0.05644978
146 0 0 0.004080707 0
147 0 0 0 0
