"i" "test.power"
"1" 1 0.5550261
"2" 2 0.5436805
"3" 3 0.519401
"4" 4 0.5148627
"5" 5 0.5405037
"6" 6 0.5062401
"7" 7 0.5325618
"8" 8 0.5266621
"9" 9 0.5307465
"10" 10 0.5010211
"11" 11 0.5316542
"12" 12 0.5107783
"13" 13 0.547538
"14" 14 0.5189471
"15" 15 0.5427729
"16" 16 0.5130474
"17" 17 0.4985251
"18" 18 0.5246199
"19" 19 0.5205355
"20" 20 0.5432267
"21" 21 0.5098707
"22" 22 0.5178126
"23" 23 0.4944407
"24" 24 0.5078285
"25" 25 0.5010211
"26" 26 0.4867257
"27" 27 0.5071477
"28" 28 0.5309735
"29" 29 0.5486726
"30" 30 0.5223508
"31" 31 0.5001135
"32" 32 0.5171318
"33" 33 0.5060132
"34" 34 0.5209893
"35" 35 0.5225777
"36" 36 0.508963
"37" 37 0.5182664
"38" 38 0.5389154
"39" 39 0.5280236
"40" 40 0.519174
"41" 41 0.5318811
"42" 42 0.5216701
"43" 43 0.5121398
"44" 44 0.5207624
"45" 45 0.5139551
"46" 46 0.5123667
"47" 47 0.5119129
"48" 48 0.5432267
"49" 49 0.5364193
"50" 50 0.5164511
"51" 51 0.5312004
"52" 52 0.5248468
"53" 53 0.5466304
"54" 54 0.4887679
"55" 55 0.5162242
"56" 56 0.5366462
"57" 57 0.5284774
"58" 58 0.5178126
"59" 59 0.5173587
"60" 60 0.5359655
"61" 61 0.5057862
"62" 62 0.5078285
"63" 63 0.511459
"64" 64 0.5187202
"65" 65 0.5253007
"66" 66 0.496256
"67" 67 0.5237123
"68" 68 0.5232585
"69" 69 0.5248468
"70" 70 0.5323349
"71" 71 0.5137282
"72" 72 0.5234854
"73" 73 0.508963
"74" 74 0.5091899
"75" 75 0.5100976
"76" 76 0.5057862
"77" 77 0.503971
"78" 78 0.4849104
"79" 79 0.5214432
"80" 80 0.4973905
"81" 81 0.5287043
"82" 82 0.5041979
"83" 83 0.5135012
"84" 84 0.5010211
"85" 85 0.496256
"86" 86 0.5017018
"87" 87 0.5007942
"88" 88 0.527116
"89" 89 0.5416383
"90" 90 0.5402768
"91" 91 0.5023826
"92" 92 0.5228046
"93" 93 0.5187202
"94" 94 0.5044248
"95" 95 0.5062401
"96" 96 0.4917177
"97" 97 0.5100976
"98" 98 0.4942138
"99" 99 0.5280236
"100" 100 0.5030633
"101" 101 0.4792376
"102" 102 0.5180395
"103" 103 0.5457227
"104" 104 0.5253007
"105" 105 0.5255276
"106" 106 0.5103245
"107" 107 0.5234854
"108" 108 0.5352848
"109" 109 0.5180395
"110" 110 0.5250737
"111" 111 0.5019287
"112" 112 0.4976174
"113" 113 0.5239392
"114" 114 0.5325618
"115" 115 0.5384615
"116" 116 0.5386885
"117" 117 0.5248468
"118" 118 0.5216701
"119" 119 0.514182
"120" 120 0.5418652
"121" 121 0.5302927
"122" 122 0.526889
"123" 123 0.5032902
"124" 124 0.5076015
"125" 125 0.5144089
"126" 126 0.5028364
"127" 127 0.511459
"128" 128 0.5162242
"129" 129 0.5032902
"130" 130 0.5416383
"131" 131 0.5073746
"132" 132 0.5157704
"133" 133 0.5221239
"134" 134 0.5144089
"135" 135 0.5103245
"136" 136 0.4926254
"137" 137 0.5121398
"138" 138 0.5128205
"139" 139 0.5234854
"140" 140 0.5314273
"141" 141 0.5157704
"142" 142 0.4996596
"143" 143 0.539823
"144" 144 0.524393
"145" 145 0.5307465
"146" 146 0.5273429
"147" 147 0.5366462
"148" 148 0.4948945
"149" 149 0.4980713
"150" 150 0.5228046
"151" 151 0.5466304
"152" 152 0.4896755
"153" 153 0.5359655
"154" 154 0.5341502
"155" 155 0.5026095
"156" 156 0.5182664
"157" 157 0.5125936
"158" 158 0.4930792
"159" 159 0.5325618
"160" 160 0.5078285
"161" 161 0.5255276
"162" 162 0.5232585
"163" 163 0.5221239
"164" 164 0.4905832
"165" 165 0.5325618
"166" 166 0.5085092
"167" 167 0.5076015
"168" 168 0.5180395
"169" 169 0.5198548
"170" 170 0.5076015
"171" 171 0.4783299
"172" 172 0.5325618
"173" 173 0.5150896
"174" 174 0.5157704
"175" 175 0.5157704
"176" 176 0.5121398
"177" 177 0.5007942
"178" 178 0.5248468
"179" 179 0.5203086
"180" 180 0.5452689
"181" 181 0.5312004
"182" 182 0.5066939
"183" 183 0.5361924
"184" 184 0.5110052
"185" 185 0.5030633
"186" 186 0.5289312
"187" 187 0.5148627
"188" 188 0.5350579
"189" 189 0.5336964
"190" 190 0.5107783
"191" 191 0.5128205
"192" 192 0.5057862
"193" 193 0.4939868
"194" 194 0.5336964
"195" 195 0.5284774
"196" 196 0.4937599
"197" 197 0.5264352
"198" 198 0.5148627
"199" 199 0.5405037
"200" 200 0.4930792
"201" 201 0.5110052
"202" 202 0.5139551
"203" 203 0.5432267
"204" 204 0.5055593
"205" 205 0.4930792
"206" 206 0.5123667
"207" 207 0.5055593
"208" 208 0.5046517
