"i" "test.power"
"1" 1 0.4197867
"2" 2 0.3980032
"3" 3 0.4449739
"4" 4 0.3417291
"5" 5 0.411391
"6" 6 0.3846154
"7" 7 0.3362832
"8" 8 0.3616973
"9" 9 0.2759247
"10" 10 0.383027
"11" 11 0.3106422
"12" 12 0.2162469
"13" 13 0.3426367
"14" 14 0.4213751
"15" 15 0.1050601
"16" 16 0.3569322
"17" 17 0.354663
"18" 18 0.3961879
"19" 19 0.3530747
"20" 20 0.3977763
"21" 21 0.1595189
"22" 22 0.4186521
"23" 23 0.357386
"24" 24 0.1143635
"25" 25 0.4365782
"26" 26 0.1847061
"27" 27 0.4372589
"28" 28 0.1043794
"29" 29 0.3526208
"30" 30 0.4311323
"31" 31 0.233946
"32" 32 0.3117767
"33" 33 0.3231223
"34" 34 0.4057182
"35" 35 0.4254595
"36" 36 0.3539823
"37" 37 0.3344679
"38" 38 0.4336283
"39" 39 0.3952802
"40" 40 0.3042886
"41" 41 0.3961879
"42" 42 0.365101
"43" 43 0.3639664
"44" 44 0.298162
"45" 45 0.2713864
"46" 46 0.4068527
"47" 47 0.3460404
"48" 48 0.4004992
"49" 49 0.3809848
"50" 50 0.04424779
"51" 51 0.4467892
"52" 52 0.3721352
"53" 53 0.07919219
"54" 54 0.367597
"55" 55 0.2793283
"56" 56 0.3698661
"57" 57 0.4041298
"58" 58 0.1933288
"59" 59 0.09757204
"60" 60 0.3176764
"61" 61 0.2945314
"62" 62 0.3746313
"63" 63 0.27774
"64" 64 0.4365782
"65" 65 0.408668
"66" 66 0.2786476
"67" 67 0.07170411
"68" 68 0.336737
"69" 69 0.467892
"70" 70 0.1268437
"71" 71 0.4526889
"72" 72 0.390742
"73" 73 0.3821194
"74" 74 0.3503517
"75" 75 0.1331972
"76" 76 0.08236896
"77" 77 0.2632176
"78" 78 0.3417291
"79" 79 0.3011119
"80" 80 0.2148854
"81" 81 0.3632857
"82" 82 0.4125255
"83" 83 0.367597
"84" 84 0.04220558
"85" 85 0.3233492
"86" 86 0.1238938
"87" 87 0.3725891
"88" 88 0.3149535
"89" 89 0.3884729
"90" 90 0.1965056
"91" 91 0.3714545
"92" 92 0.07193102
"93" 93 0.1213978
"94" 94 0.1887906
"95" 95 0.3637395
"96" 96 0.3449058
"97" 97 0.4000454
"98" 98 0.1354663
"99" 99 0.4481507
"100" 100 0.1969594
"101" 101 0.3619242
"102" 102 0.4588155
"103" 103 0.4125255
"104" 104 0.4177445
"105" 105 0.3120036
"106" 106 0.2266848
"107" 107 0.4272748
"108" 108 0.1633764
"109" 109 0.4152485
"110" 110 0.2532335
"111" 111 0.1738144
"112" 112 0.4399818
"113" 113 0.1915135
"114" 114 0.4585886
"115" 115 0.3744044
"116" 116 0.4091219
"117" 117 0.1831178
"118" 118 0.2836397
"119" 119 0.2064897
"120" 120 0.4161561
"121" 121 0.04402088
"122" 122 0.02405264
"123" 123 0.4150216
"124" 124 0.2970275
"125" 125 0.4059451
"126" 126 0.1250284
"127" 127 0.2384842
"128" 128 0.3494441
"129" 129 0.3453597
"130" 130 0.403676
"131" 131 0.365101
"132" 132 0.377808
"133" 133 0.4095757
"134" 134 0.3555707
"135" 135 0.01202632
"136" 136 0.2162469
"137" 137 0.3489902
"138" 138 0.3614704
"139" 139 0.2024053
"140" 140 0.3732698
"141" 141 0.3090538
"142" 142 0.3866576
"143" 143 0.2087588
"144" 144 0.3635126
"145" 145 0.3249376
"146" 146 0.3458135
"147" 147 0.3864307
"148" 148 0.4177445
"149" 149 0.3038348
"150" 150 0.4252326
"151" 151 0.125936
"152" 152 0.4045836
"153" 153 0.4177445
"154" 154 0.3287951
"155" 155 0.05377808
"156" 156 0.4229635
"157" 157 0.4254595
"158" 158 0.2049013
"159" 159 0.3868845
"160" 160 0.1887906
"161" 161 0.06353528
"162" 162 0.4045836
"163" 163 0.439528
"164" 164 0.1540731
"165" 165 0.3351486
"166" 166 0.3893805
"167" 167 0.1241207
"168" 168 0.3485364
"169" 169 0.3734967
"170" 170 0.4029952
"171" 171 0.3884729
"172" 172 0.06103926
"173" 173 0.3203994
"174" 174 0.3889267
"175" 175 0.3199455
"176" 176 0.3310642
"177" 177 0.06466984
"178" 178 0.4309054
"179" 179 0.3803041
"180" 180 0.2398457
"181" 181 0.1683685
"182" 182 0.4007261
"183" 183 0.3626049
"184" 184 0.2890855
"185" 185 0.2543681
"186" 186 0.3660086
"187" 187 0.06852734
"188" 188 0.4193329
"189" 189 0.1347856
"190" 190 0.3147266
"191" 191 0.4211482
"192" 192 0.4104833
"193" 193 0.1672339
"194" 194 0.2711595
"195" 195 0.3689585
"196" 196 0.3834808
"197" 197 0.3453597
"198" 198 0.4211482
"199" 199 0.04107102
"200" 200 0.1842523
"201" 201 0.3921035
"202" 202 0.4063989
"203" 203 0.09916043
"204" 204 0.16973
"205" 205 0.2788745
"206" 206 0.07556161
"207" 207 0.3889267
"208" 208 0.3356025
"209" 209 0.1987747
"210" 210 0.4209213
"211" 211 0.4052644
"212" 212 0.3834808
"213" 213 0.03607897
"214" 214 0.2119356
"215" 215 0.1756297
"216" 216 0.4220558
"217" 217 0.3784888
"218" 218 0.4476968
"219" 219 0.4309054
"220" 220 0.1833447
"221" 221 0.3945995
"222" 222 0.1436351
"223" 223 0.2171545
"224" 224 0.4399818
"225" 225 0.4084411
"226" 226 0.3194917
"227" 227 0.4088949
"228" 228 0.1141366
"229" 229 0.3968686
"230" 230 0.3941457
"231" 231 0.3417291
"232" 232 0.4461085
"233" 233 0.4508736
"234" 234 0.1059678
"235" 235 0.3512594
"236" 236 0.1906059
"237" 237 0.4238711
"238" 238 0.4004992
"239" 239 0.4690265
"240" 240 0.3871114
"241" 241 0.20059
"242" 242 0.1100522
"243" 243 0.4213751
"244" 244 0.3905151
"245" 245 0.3868845
"246" 246 0.3122305
"247" 247 0.3278875
"248" 248 0.08645337
"249" 249 0.3846154
"250" 250 0.1908328
"251" 251 0.07079646
"252" 252 0.4288632
