i test.power
401 0.030721
402 0.08683386
403 0.03981191
404 0.01473354
405 0.01253918
406 0.009717868
407 0.005329154
408 0
409 0.04545455
410 0
411 0.01097179
412 0.03322884
413 0.0523511
414 0.03887147
415 0.02068966
416 0.03667712
417 0.003761755
418 0.06551724
419 0.2401254
420 0.03040752
421 0.01818182
422 0.03949843
423 0.02225705
424 0.01097179
425 0.02225705
426 0.05642633
427 0.03009404
428 0.4661442
429 0.0200627
430 0.0169279
431 0.3899687
432 0.392163
433 0.04858934
434 0.01974922
435 0.08275862
436 0.2974922
437 0.05329154
438 0.03855799
439 0.002194357
440 0.05830721
441 0.03103448
442 0.03134796
443 0.07523511
444 0.5394984
445 0.1184953
446 0.0200627
447 0.02915361
448 0.002507837
449 0.04075235
450 0.03354232
451 0.01974922
452 0.5031348
453 0.01410658
454 0.05141066
455 0.05203762
456 0.2250784
457 0.04545455
458 0.009717868
459 0.03510972
460 0.0523511
461 0.04263323
462 0.4510972
463 0.09529781
464 0.04012539
465 0.02946708
466 0
467 0.030721
468 0.005642633
469 0.5112853
470 0.01128527
471 0.002507837
472 0.02570533
473 0.01285266
474 0.02727273
475 0.1507837
476 0.002507837
477 0.2410658
478 0.007210031
479 0.0830721
480 0.09310345
481 0.04043887
482 0.007210031
483 0.04702194
484 0.03981191
485 0.01222571
486 0.004702194
487 0.002194357
488 0.01661442
489 0.02257053
490 0.1721003
491 0.09905956
492 0.02601881
493 0.4125392
494 0.04294671
495 0.3539185
496 0.03416928
497 0.04106583
498 0.4667712
499 0.02068966
500 0.4034483
501 0
502 0.07272727
503 0.08934169
504 0.01598746
505 0.04451411
506 0.007210031
507 0.04263323
508 0.01786834
509 0.03103448
510 0.04075235
511 0.08087774
512 0.08902821
513 0.0137931
514 0.1015674
515 0.04451411
516 0.05517241
517 0.003134796
518 0.02382445
519 0.001253918
520 0.005642633
521 0.005642633
522 0.09247649
523 0.03636364
524 0.02664577
525 0.3548589
526 0.0153605
527 0.3858934
528 0.02257053
529 0.4203762
530 0.08181818
531 0.04984326
532 0.1031348
533 0.009404389
534 0.05642633
535 0.0169279
536 0.05015674
537 0.2147335
538 0.05485893
539 0.07648903
540 0.01473354
541 0.04639498
542 0.4282132
543 0.02194357
544 0.3485893
545 0.02413793
546 0.01316614
547 0.08181818
548 0.03416928
549 0.3219436
550 0.03730408
551 0.08213166
552 0.01442006
553 0.01974922
554 0.01065831
555 0.01410658
556 0.06865204
557 0.02633229
558 0.03510972
559 0
560 0.06708464
561 0.06489028
562 0.1554859
563 0.09592476
564 0.02476489
565 0.4786834
566 0.02884013
567 0.002507837
568 0.1551724
569 0.2884013
570 0.09529781
571 0.1125392
572 0.1626959
573 0
574 0.09623824
575 0.04231975
576 0.1065831
577 0.2554859
578 0.07241379
579 0.2727273
580 0.06050157
581 0.05642633
582 0.1163009
583 0.04231975
584 0.0846395
585 0.4335423
586 0.02257053
587 0.3166144
588 0.02476489
589 0.2485893
590 0
591 0.004075235
592 0.1097179
593 0.3783699
594 0.01818182
595 0.03824451
596 0.02257053
597 0.02194357
598 0.01912226
599 0.05893417
600 0.02257053

