i TypeI_0 TypeI_2
601 0 0
602 0.1731602 0.07792208
603 0 0
604 0 0
605 0 0
606 0 0.03463203
607 0.06926407 0
608 0 0
609 0 0
610 0.1168831 0.4978355
611 0 0
612 0 0.07792208
613 0 0
614 0.004329004 0
615 0 0
616 0 0
617 0.02597403 0.04761905
618 0 0
619 0 0
620 0 0
621 0 0
622 0 0
623 0.01731602 0.03030303
624 0 0
625 0 0
626 0 0.1601732
627 0 0
628 0 0
629 0 0
630 0 0
631 0 0.03896104
632 0 0
633 0 0
634 0.4112554 0.4112554
635 0 0
636 0 0
637 0 0
638 0 0
639 0 0.1341991
640 0 0
641 0 0
642 0 0
643 0 0
644 0 0.03463203
645 0 0.02164502
646 0 0
647 0 0
648 0.1038961 0
649 0 0.02164502
650 0 0.03463203
651 0 0
652 0 0
653 0 0.02164502
654 0 0.04761905
655 0 0
656 0 0.5887446
657 0 0.1255411
658 0.0995671 0.09090909
659 0 0.2510823
660 0 0
661 0.01298701 0.08658009
662 0.1168831 0.09090909
663 0 0
664 0 0
665 0 0.01731602
666 0.01298701 0.1082251
667 0 0
668 0 0
669 0 0.0952381
670 0 0
671 0 0
672 0 0
673 0 0
674 0 0
675 0 0.5454545
676 0 0.03463203
677 0 0
678 0 0.0995671
679 0 0.03896104
680 0 0.004329004
681 0 0.04761905
682 0 0
683 0 0
684 0 0
685 0.01731602 0.01298701
686 0.02164502 0
687 0 0.05627706
688 0 0.03896104
689 0 0
690 0 0
691 0 0
692 0 0.6580087
693 0 0
694 0 0
695 0 0
696 0.3073593 0.09090909
697 0 0
698 0 0.004329004
699 0.01731602 0
700 0 0
701 0 0
702 0 0
703 0 0.004329004
704 0 0
705 0 0
706 0 0
707 0 0.06926407
708 0.02164502 0.004329004
709 0 0
710 0 0
711 0.01298701 0
712 0 0.5064935
713 0 0
714 0.3333333 0.6017316
715 0 0
716 0 0
717 0 0
718 0 0.02164502
719 0 0
720 0 0.05194805
721 0.01298701 0
722 0 0.03030303
723 0 0.1125541
724 0 0
725 0.2640693 0.4632035
726 0 0
727 0 0
728 0.01731602 0.01298701
729 0 0
730 0 0.03896104
731 0 0.02597403
732 0 0
733 0 0.004329004
734 0 0
735 0 0.01731602
736 0 0
737 0 0
738 0 0
739 0 0
740 0 0
741 0 0
742 0 0
743 0 0
744 0 0.06493506
745 0 0.008658009
746 0 0.1861472
747 0 0.06926407
748 0 0
749 0 0.07792208
750 0 0
751 0 0
752 0.0952381 0.02597403
753 0.0995671 0
754 0 0.1298701
755 0 0
756 0 0.03030303
757 0 0.01298701
758 0 0
759 0 0
760 0 0
761 0.1991342 0.06926407
762 0.004329004 0
763 0 0
764 0.01298701 0.1125541
765 0 0
766 0 0.05194805
767 0 0
768 0 0.02164502
769 0 0
770 0 0
771 0 0.06060606
772 0 0
773 0 0
774 0 0
775 0.01731602 0.1298701
776 0 0
777 0 0.01731602
778 0 0
779 0 0
780 0 0
781 0 0.4632035
782 0.04329004 0
783 0 0
784 0 0.004329004
785 0 0
786 0.07359307 0.02164502
787 0 0.004329004
788 0 0
789 0.1688312 0.1082251
790 0 0
791 0 0
792 0 0
793 0 0.01298701
794 0 0
795 0 0
796 0 0.008658009
797 0 0
798 0 0
799 0 0.2251082
800 0 0.07359307
