"i" "test.power"
"1" 1 0.5699388
"2" 2 0.5638177
"3" 3 0.5626842
"4" 4 0.5572433
"5" 5 0.5719791
"6" 6 0.5395602
"7" 7 0.5563364
"8" 8 0.5649513
"9" 9 0.5785536
"10" 10 0.5572433
"11" 11 0.5431875
"12" 12 0.5313988
"13" 13 0.5801406
"14" 14 0.5554296
"15" 15 0.5778735
"16" 16 0.5413738
"17" 17 0.552029
"18" 18 0.5781002
"19" 19 0.5527091
"20" 20 0.5758331
"21" 21 0.5518023
"22" 22 0.5425074
"23" 23 0.5842213
"24" 24 0.5363863
"25" 25 0.559737
"26" 26 0.5400136
"27" 27 0.5273181
"28" 28 0.5892088
"29" 29 0.5815008
"30" 30 0.5468148
"31" 31 0.540467
"32" 32 0.5638177
"33" 33 0.5425074
"34" 34 0.5620041
"35" 35 0.5502154
"36" 36 0.5647246
"37" 37 0.5350261
"38" 38 0.572886
"39" 39 0.5812741
"40" 40 0.5563364
"41" 41 0.5595103
"42" 42 0.5567898
"43" 43 0.5610973
"44" 44 0.5576967
"45" 45 0.5556563
"46" 46 0.5629109
"47" 47 0.561324
"48" 48 0.5830877
"49" 49 0.5332124
"50" 50 0.5606438
"51" 51 0.5640444
"52" 52 0.5744729
"53" 53 0.5642711
"54" 54 0.5508955
"55" 55 0.5701655
"56" 56 0.5617774
"57" 57 0.5452278
"58" 58 0.5527091
"59" 59 0.5538427
"60" 60 0.5762866
"61" 61 0.5456813
"62" 62 0.5447744
"63" 63 0.5486284
"64" 64 0.5307187
"65" 65 0.5617774
"66" 66 0.5357062
"67" 67 0.5665382
"68" 68 0.5799139
"69" 69 0.5445477
"70" 70 0.569032
"71" 71 0.5361596
"72" 72 0.549762
"73" 73 0.5608706
"74" 74 0.5531625
"75" 75 0.5644978
"76" 76 0.5644978
"77" 77 0.5359329
"78" 78 0.5279982
"79" 79 0.5617774
"80" 80 0.5479483
"81" 81 0.5810474
"82" 82 0.575153
"83" 83 0.5511222
"84" 84 0.5710723
"85" 85 0.5588302
"86" 86 0.5581501
"87" 87 0.5490818
"88" 88 0.5753797
"89" 89 0.5769667
"90" 90 0.5615507
"91" 91 0.5717524
"92" 92 0.5565631
"93" 93 0.5418273
"94" 94 0.5347994
"95" 95 0.5372931
"96" 96 0.536613
"97" 97 0.5236908
"98" 98 0.5529358
"99" 99 0.5515756
"100" 100 0.5586035
"101" 101 0.5284516
"102" 102 0.5552029
"103" 103 0.5567898
"104" 104 0.5418273
"105" 105 0.5554296
"106" 106 0.5633643
"107" 107 0.5624575
"108" 108 0.5708456
"109" 109 0.5465881
"110" 110 0.5620041
"111" 111 0.5547495
"112" 112 0.5540694
"113" 113 0.5667649
"114" 114 0.5402403
"115" 115 0.5756064
"116" 116 0.5631376
"117" 117 0.5785536
"118" 118 0.5477216
"119" 119 0.5667649
"120" 120 0.5683518
"121" 121 0.5626842
"122" 122 0.5765133
"123" 123 0.5570165
"124" 124 0.5561097
"125" 125 0.5450011
"126" 126 0.5540694
"127" 127 0.555883
"128" 128 0.5601904
"129" 129 0.5762866
"130" 130 0.5735661
"131" 131 0.5515756
"132" 132 0.5513489
"133" 133 0.5649513
"134" 134 0.5411471
"135" 135 0.5386534
"136" 136 0.5601904
"137" 137 0.5617774
"138" 138 0.5375198
"139" 139 0.5586035
"140" 140 0.5665382
"141" 141 0.5803673
"142" 142 0.5604171
"143" 143 0.5685786
"144" 144 0.553616
"145" 145 0.5672183
"146" 146 0.5617774
"147" 147 0.5753797
"148" 148 0.5284516
"149" 149 0.5672183
"150" 150 0.5617774
"151" 151 0.5769667
"152" 152 0.5207436
"153" 153 0.5708456
"154" 154 0.5663115
"155" 155 0.5667649
"156" 156 0.555883
"157" 157 0.5724326
"158" 158 0.5352528
"159" 159 0.5742462
"160" 160 0.5547495
"161" 161 0.5676717
"162" 162 0.5461347
"163" 163 0.5425074
"164" 164 0.5749263
"165" 165 0.5531625
"166" 166 0.5667649
"167" 167 0.5629109
"168" 168 0.5316255
"169" 169 0.5447744
"170" 170 0.5354795
"171" 171 0.5316255
"172" 172 0.5522557
"173" 173 0.5545228
"174" 174 0.5606438
"175" 175 0.567445
"176" 176 0.5209703
"177" 177 0.5375198
"178" 178 0.5672183
"179" 179 0.5504421
"180" 180 0.5744729
"181" 181 0.5488551
"182" 182 0.553616
"183" 183 0.5799139
"184" 184 0.5522557
"185" 185 0.5522557
"186" 186 0.5803673
"187" 187 0.5586035
"188" 188 0.5692587
"189" 189 0.5601904
"190" 190 0.5631376
"191" 191 0.5461347
"192" 192 0.5590569
"193" 193 0.5438676
"194" 194 0.5454545
"195" 195 0.5484017
"196" 196 0.5581501
"197" 197 0.579007
"198" 198 0.5563364
"199" 199 0.5581501
"200" 200 0.5508955
"201" 201 0.5815008
"202" 202 0.5633643
"203" 203 0.582861
"204" 204 0.5411471
"205" 205 0.553616
"206" 206 0.555883
"207" 207 0.5368397
"208" 208 0.5583768
"209" 209 0.5760599
"210" 210 0.5425074
"211" 211 0.5565631
"212" 212 0.5703922
"213" 213 0.5581501
"214" 214 0.5470415
"215" 215 0.5624575
"216" 216 0.545908
"217" 217 0.5665382
"218" 218 0.55747
"219" 219 0.5817275
"220" 220 0.5552029
"221" 221 0.5769667
"222" 222 0.5495353
"223" 223 0.5626842
"224" 224 0.5638177
"225" 225 0.5429608
"226" 226 0.5742462
"227" 227 0.5347994
"228" 228 0.563591
"229" 229 0.5710723
"230" 230 0.5495353
"231" 231 0.5740195
"232" 232 0.525051
"233" 233 0.5746996
"234" 234 0.5586035
"235" 235 0.567445
"236" 236 0.5815008
"237" 237 0.5395602
"238" 238 0.5703922
"239" 239 0.5499887
"240" 240 0.5474949
"241" 241 0.5781002
"242" 242 0.555883
"243" 243 0.565178
"244" 244 0.5746996
"245" 245 0.580594
"246" 246 0.5372931
"247" 247 0.5538427
"248" 248 0.5456813
"249" 249 0.5699388
"250" 250 0.5617774
"251" 251 0.555883
"252" 252 0.540467
"253" 253 0.5382
"254" 254 0.5656314
"255" 255 0.5631376
"256" 256 0.526638
"257" 257 0.5592836
"258" 258 0.5508955
"259" 259 0.5504421
"260" 260 0.5799139
"261" 261 0.5418273
"262" 262 0.5561097
"263" 263 0.5660848
"264" 264 0.5361596
"265" 265 0.5610973
"266" 266 0.534346
"267" 267 0.559737
"268" 268 0.5676717
"269" 269 0.5737928
"270" 270 0.5388801
"271" 271 0.5740195
"272" 272 0.5470415
"273" 273 0.5758331
"274" 274 0.5552029
"275" 275 0.5527091
"276" 276 0.5649513
"277" 277 0.5672183
"278" 278 0.5565631
"279" 279 0.5606438
"280" 280 0.555883
"281" 281 0.5576967
"282" 282 0.5724326
"283" 283 0.5656314
"284" 284 0.5436409
"285" 285 0.5450011
"286" 286 0.5529358
"287" 287 0.5667649
"288" 288 0.548175
"289" 289 0.540467
"290" 290 0.5731127
"291" 291 0.5524824
"292" 292 0.5413738
"293" 293 0.5672183
"294" 294 0.5472682
"295" 295 0.5527091
"296" 296 0.5302652
"297" 297 0.5622308
"298" 298 0.534346
"299" 299 0.5533893
"300" 300 0.5470415
"301" 301 0.5393335
"302" 302 0.5610973
"303" 303 0.5608706
"304" 304 0.5236908
"305" 305 0.5372931
"306" 306 0.5377465
"307" 307 0.5277715
"308" 308 0.5590569
"309" 309 0.5465881
"310" 310 0.5733394
"311" 311 0.5470415
"312" 312 0.5502154
"313" 313 0.5744729
"314" 314 0.5508955
"315" 315 0.5624575
"316" 316 0.5357062
"317" 317 0.5699388
"318" 318 0.5486284
"319" 319 0.5533893
"320" 320 0.540467
"321" 321 0.5676717
"322" 322 0.5463614
"323" 323 0.5699388
"324" 324 0.5388801
"325" 325 0.5647246
"326" 326 0.5765133
"327" 327 0.5717524
"328" 328 0.5397869
"329" 329 0.5608706
"330" 330 0.5626842
"331" 331 0.5422807
"332" 332 0.552029
"333" 333 0.5731127
"334" 334 0.5819542
"335" 335 0.5472682
"336" 336 0.5749263
"337" 337 0.5699388
"338" 338 0.5794604
"339" 339 0.5445477
"340" 340 0.553616
"341" 341 0.5756064
"342" 342 0.565178
"343" 343 0.5531625
"344" 344 0.5438676
"345" 345 0.5903423
"346" 346 0.5715257
"347" 347 0.5524824
"348" 348 0.565178
"349" 349 0.5583768
"350" 350 0.5370664
"351" 351 0.5708456
"352" 352 0.563591
"353" 353 0.569032
"354" 354 0.5660848
"355" 355 0.5372931
"356" 356 0.5470415
"357" 357 0.5622308
"358" 358 0.5554296
"359" 359 0.5438676
"360" 360 0.5472682
"361" 361 0.5583768
"362" 362 0.5803673
"363" 363 0.5749263
"364" 364 0.5717524
"365" 365 0.5588302
"366" 366 0.5583768
"367" 367 0.5513489
"368" 368 0.5601904
"369" 369 0.5440943
"370" 370 0.5699388
"371" 371 0.575153
"372" 372 0.5547495
"373" 373 0.5402403
"374" 374 0.5504421
"375" 375 0.5688053
"376" 376 0.5692587
"377" 377 0.5778735
"378" 378 0.5567898
"379" 379 0.5552029
"380" 380 0.5490818
"381" 381 0.5545228
"382" 382 0.5785536
"383" 383 0.5440943
"384" 384 0.548175
"385" 385 0.5660848
"386" 386 0.5731127
"387" 387 0.5722058
"388" 388 0.5778735
"389" 389 0.5579234
"390" 390 0.5561097
"391" 391 0.5701655
"392" 392 0.5425074
"393" 393 0.5606438
"394" 394 0.5740195
"395" 395 0.5325323
"396" 396 0.5787803
"397" 397 0.5708456
"398" 398 0.5456813
"399" 399 0.561324
"400" 400 0.5697121
"401" 401 0.525051
"402" 402 0.5792337
"403" 403 0.5357062
"404" 404 0.5468148
"405" 405 0.5477216
"406" 406 0.5710723
"407" 407 0.5450011
"408" 408 0.5658581
"409" 409 0.5202902
"410" 410 0.540467
"411" 411 0.553616
"412" 412 0.5617774
"413" 413 0.5531625
"414" 414 0.5606438
"415" 415 0.5726593
"416" 416 0.5672183
"417" 417 0.559737
"418" 418 0.5563364
"419" 419 0.5576967
"420" 420 0.5490818
"421" 421 0.5774201
"422" 422 0.5522557
"423" 423 0.5669916
"424" 424 0.5785536
"425" 425 0.5350261
"426" 426 0.5667649
"427" 427 0.553616
"428" 428 0.5678984
"429" 429 0.5676717
"430" 430 0.5527091
"431" 431 0.5429608
"432" 432 0.5370664
"433" 433 0.5726593
"434" 434 0.5434142
"435" 435 0.5647246
"436" 436 0.5245976
"437" 437 0.5529358
"438" 438 0.5416005
"439" 439 0.5495353
"440" 440 0.5515756
"441" 441 0.5556563
"442" 442 0.528905
"443" 443 0.572886
"444" 444 0.5529358
"445" 445 0.5422807
"446" 446 0.5592836
"447" 447 0.5175697
"448" 448 0.5769667
"449" 449 0.5649513
"450" 450 0.5529358
"451" 451 0.5837679
"452" 452 0.5565631
"453" 453 0.5706189
"454" 454 0.534346
"455" 455 0.5524824
"456" 456 0.5622308
"457" 457 0.5746996
"458" 458 0.5502154
"459" 459 0.5638177
"460" 460 0.5588302
"461" 461 0.5620041
"462" 462 0.5300385
"463" 463 0.5742462
"464" 464 0.5511222
"465" 465 0.544321
"466" 466 0.5665382
"467" 467 0.5307187
"468" 468 0.5672183
"469" 469 0.5307187
"470" 470 0.5461347
"471" 471 0.5601904
"472" 472 0.5760599
"473" 473 0.5631376
"474" 474 0.5518023
"475" 475 0.5561097
"476" 476 0.5685786
"477" 477 0.5667649
"478" 478 0.5241442
"479" 479 0.5699388
"480" 480 0.5676717
"481" 481 0.5622308
"482" 482 0.5660848
"483" 483 0.5341192
"484" 484 0.5774201
"485" 485 0.5393335
"486" 486 0.5592836
"487" 487 0.5710723
"488" 488 0.5393335
"489" 489 0.5833144
"490" 490 0.5708456
"491" 491 0.5452278
"492" 492 0.5765133
"493" 493 0.559737
"494" 494 0.5726593
"495" 495 0.5812741
"496" 496 0.5493085
"497" 497 0.555883
"498" 498 0.5465881
"499" 499 0.5447744
"500" 500 0.5391068
"501" 501 0.5610973
"502" 502 0.55747
"503" 503 0.5270914
"504" 504 0.5450011
"505" 505 0.5678984
"506" 506 0.5703922
"507" 507 0.5418273
"508" 508 0.5681251
"509" 509 0.5445477
"510" 510 0.5588302
"511" 511 0.5839946
"512" 512 0.5697121
"513" 513 0.5468148
"514" 514 0.5241442
"515" 515 0.552029
"516" 516 0.563591
"517" 517 0.5581501
"518" 518 0.5649513
"519" 519 0.5835411
"520" 520 0.5688053
"521" 521 0.5708456
"522" 522 0.5495353
"523" 523 0.5669916
"524" 524 0.5350261
"525" 525 0.5592836
"526" 526 0.5726593
"527" 527 0.5620041
"528" 528 0.5774201
"529" 529 0.5765133
"530" 530 0.5776468
"531" 531 0.5678984
"532" 532 0.5572433
"533" 533 0.5672183
"534" 534 0.544321
"535" 535 0.5601904
"536" 536 0.5735661
"537" 537 0.5540694
"538" 538 0.5361596
"539" 539 0.5656314
"540" 540 0.5733394
"541" 541 0.5595103
"542" 542 0.5654047
"543" 543 0.5667649
"544" 544 0.5663115
"545" 545 0.5357062
"546" 546 0.5540694
"547" 547 0.55747
"548" 548 0.5640444
"549" 549 0.5216504
"550" 550 0.5579234
"551" 551 0.549762
"552" 552 0.544321
"553" 553 0.588302
"554" 554 0.5638177
"555" 555 0.5556563
"556" 556 0.55747
"557" 557 0.5638177
"558" 558 0.5760599
"559" 559 0.5506688
"560" 560 0.5599637
"561" 561 0.5493085
"562" 562 0.5742462
"563" 563 0.5586035
"564" 564 0.5626842
"565" 565 0.5490818
"566" 566 0.5434142
"567" 567 0.5672183
"568" 568 0.5513489
"569" 569 0.5538427
"570" 570 0.5334391
"571" 571 0.5726593
"572" 572 0.5771934
"573" 573 0.5599637
"574" 574 0.5538427
"575" 575 0.5495353
"576" 576 0.5610973
"577" 577 0.5567898
"578" 578 0.5227839
"579" 579 0.5418273
"580" 580 0.5479483
"581" 581 0.5685786
"582" 582 0.5309454
"583" 583 0.5624575
"584" 584 0.5531625
"585" 585 0.5461347
"586" 586 0.5445477
"587" 587 0.5515756
"588" 588 0.5581501
"589" 589 0.5572433
"590" 590 0.5556563
"591" 591 0.5626842
"592" 592 0.5522557
"593" 593 0.5436409
"594" 594 0.5463614
"595" 595 0.5456813
"596" 596 0.5533893
"597" 597 0.5649513
"598" 598 0.5361596
"599" 599 0.5753797
"600" 600 0.5409204
"601" 601 0.5706189
"602" 602 0.5624575
"603" 603 0.5547495
"604" 604 0.561324
"605" 605 0.5264112
"606" 606 0.57674
"607" 607 0.5606438
"608" 608 0.5703922
"609" 609 0.5608706
"610" 610 0.545908
"611" 611 0.5549762
"612" 612 0.5626842
"613" 613 0.5418273
"614" 614 0.5538427
"615" 615 0.5919293
"616" 616 0.5484017
"617" 617 0.5815008
"618" 618 0.5610973
"619" 619 0.5667649
"620" 620 0.5470415
"621" 621 0.5531625
"622" 622 0.5586035
"623" 623 0.5617774
"624" 624 0.5710723
"625" 625 0.5549762
"626" 626 0.5710723
"627" 627 0.5527091
"628" 628 0.5595103
"629" 629 0.5592836
"630" 630 0.5513489
"631" 631 0.5830877
"632" 632 0.5606438
"633" 633 0.563591
"634" 634 0.5531625
"635" 635 0.5549762
"636" 636 0.5669916
"637" 637 0.5504421
"638" 638 0.5733394
"639" 639 0.5445477
"640" 640 0.5465881
"641" 641 0.5561097
"642" 642 0.5595103
"643" 643 0.5615507
"644" 644 0.5524824
"645" 645 0.5531625
"646" 646 0.5697121
"647" 647 0.548175
"648" 648 0.536613
"649" 649 0.5565631
"650" 650 0.532759
"651" 651 0.5656314
"652" 652 0.5699388
"653" 653 0.5413738
"654" 654 0.5799139
"655" 655 0.5450011
"656" 656 0.5631376
"657" 657 0.5567898
"658" 658 0.5667649
"659" 659 0.5461347
"660" 660 0.5522557
"661" 661 0.5261845
"662" 662 0.5470415
"663" 663 0.5533893
"664" 664 0.5572433
"665" 665 0.5488551
"666" 666 0.5683518
"667" 667 0.57674
"668" 668 0.5724326
"669" 669 0.5547495
"670" 670 0.5624575
"671" 671 0.5570165
"672" 672 0.5490818
"673" 673 0.5486284
"674" 674 0.5477216
"675" 675 0.5232374
"676" 676 0.5753797
"677" 677 0.5731127
"678" 678 0.5710723
"679" 679 0.5601904
"680" 680 0.5522557
"681" 681 0.5282249
"682" 682 0.5565631
"683" 683 0.5474949
"684" 684 0.549762
"685" 685 0.5617774
"686" 686 0.5440943
"687" 687 0.5703922
"688" 688 0.5631376
"689" 689 0.5486284
"690" 690 0.5425074
"691" 691 0.5824076
"692" 692 0.5606438
"693" 693 0.5604171
"694" 694 0.5354795
"695" 695 0.5849014
"696" 696 0.5663115
"697" 697 0.5744729
"698" 698 0.5384267
"699" 699 0.555883
"700" 700 0.5470415
"701" 701 0.5590569
"702" 702 0.5248243
"703" 703 0.5504421
"704" 704 0.5620041
