"i" "test.power"
"1" 1 0.4815235
"2" 2 0.4785763
"3" 3 0.4352754
"4" 4 0.400136
"5" 5 0.4457039
"6" 6 0.5012469
"7" 7 0.4812968
"8" 8 0.4391294
"9" 9 0.2350941
"10" 10 0.4352754
"11" 11 0.4574926
"12" 12 0.428701
"13" 13 0.4321016
"14" 14 0.490365
"15" 15 0.4429835
"16" 16 0.4404897
"17" 17 0.4511449
"18" 18 0.38472
"19" 19 0.4169123
"20" 20 0.465654
"21" 21 0.4774428
"22" 22 0.4887781
"23" 23 0.4706416
"24" 24 0.4184992
"25" 25 0.5046475
"26" 26 0.4615733
"27" 27 0.4722285
"28" 28 0.4379959
"29" 29 0.457946
"30" 30 0.4715484
"31" 31 0.4647472
"32" 32 0.4450238
"33" 33 0.4529585
"34" 34 0.4565858
"35" 35 0.4407164
"36" 36 0.4051236
"37" 37 0.4259805
"38" 38 0.390161
"39" 39 0.4799365
"40" 40 0.311494
"41" 41 0.4200861
"42" 42 0.4289277
"43" 43 0.4389027
"44" 44 0.4559057
"45" 45 0.4778962
"46" 46 0.4529585
"47" 47 0.4586262
"48" 48 0.4500113
"49" 49 0.4565858
"50" 50 0.3912945
"51" 51 0.4661075
"52" 52 0.4611199
"53" 53 0.4432102
"54" 54 0.4534119
"55" 55 0.4486511
"56" 56 0.3985491
"57" 57 0.4790297
"58" 58 0.361596
"59" 59 0.3278168
"60" 60 0.4892315
"61" 61 0.409431
"62" 62 0.4459306
"63" 63 0.44253
"64" 64 0.4565858
"65" 65 0.4715484
"66" 66 0.4529585
"67" 67 0.1732034
"68" 68 0.4218998
"69" 69 0.4973929
"70" 70 0.1890728
"71" 71 0.4883246
"72" 72 0.4726819
"73" 73 0.450238
"74" 74 0.4756291
"75" 75 0.4153253
"76" 76 0.3713444
"77" 77 0.4146452
"78" 78 0.4729086
"79" 79 0.4277942
"80" 80 0.2822489
"81" 81 0.4792564
"82" 82 0.4382226
"83" 83 0.4296078
"84" 84 0.3801859
"85" 85 0.4754024
"86" 86 0.2280662
"87" 87 0.4033099
"88" 88 0.4268873
"89" 89 0.4846973
"90" 90 0.363183
"91" 91 0.4731353
"92" 92 0.4683745
"93" 93 0.3971888
"94" 94 0.4586262
"95" 95 0.361596
"96" 96 0.4334618
"97" 97 0.4620268
"98" 98 0.4404897
"99" 99 0.505781
"100" 100 0.4577193
"101" 101 0.4409431
"102" 102 0.5035139
"103" 103 0.4833371
"104" 104 0.4926321
"105" 105 0.4160054
"106" 106 0.4273407
"107" 107 0.4794831
"108" 108 0.3067332
"109" 109 0.4878712
"110" 110 0.3892541
"111" 111 0.3629562
"112" 112 0.4910451
"113" 113 0.4561324
"114" 114 0.4849241
"115" 115 0.4679211
"116" 116 0.4150986
"117" 117 0.3609159
"118" 118 0.4218998
"119" 119 0.444117
"120" 120 0.4549989
"121" 121 0.1702562
"122" 122 0.4137384
"123" 123 0.4481977
"124" 124 0.4515983
"125" 125 0.4300612
"126" 126 0.4305146
"127" 127 0.459533
"128" 128 0.4690546
"129" 129 0.3663568
"130" 130 0.4996599
"131" 131 0.4844706
