i typeI.0 typeI.2
1 0 0.1870324
2 0 0.02176377
3 0.03649966 0.007027885
4 0 0
5 0 0.01836318
6 0.001813648 0.0151893
7 0 0.04284743
8 0 0.007481297
9 0 0.006801179
10 0 0.1269553
11 0 0
12 0 0.004987531
13 0.08320109 0.2169576
14 0 0.0532759
15 0 0.1081387
16 0.0342326 0.06642485
17 0.000226706 0.005440943
18 0 0.02131036
19 0 0.001586942
20 0.2833825 0.0759465
21 0.0004534119 0.02357742
22 0.003400589 0.01246883
23 0 0.00113353
24 0 0.003173883
25 0 0.02221718
26 0 0.006801179
27 0.01700295 0.06710496
28 0 0.008614827
29 0.1471322 0.05531625
30 0 0.007481297
31 0.04080707 0.03854001
32 0 0.01813648
33 0 0.00113353
34 0 0.001360236
35 0.03763319 0.07912038
36 0 0.007027885
37 0 0.004307413
38 0.00113353 0.1187939
39 0 0.04624802
40 0 0.0006801179
41 0.01609612 0.06574473
42 0.001586942 0.03491272
43 0 0.02085695
44 0.0228973 0.2990252
45 0 0.004534119
46 0.001813648 0.02040354
47 0 0.01224212
48 0 0.005440943
49 0 0.003173883
50 0 0.03105872
51 0.05531625 0.008388121
52 0.0004534119 0.007708003
53 0 0.02357742
54 0.006121061 0.01949671
55 0.05962367 0.07322603
56 0 0.0569032
57 0.04012696 0.01632283
58 0 0.006574473
59 0.1011109 0.01949671
60 0.01314895 0.002040354
61 0.01110859 0.04828837
62 0.1060984 0.06234414
63 0.000226706 0.04987531
64 0 0.02584448
65 0.06801179 0.006574473
66 0 0.01382906
67 0 0.01246883
68 0 0
69 0.0006801179 0.2956246
70 0.002720472 0.01858989
71 0 0.01700295
72 0 0.0265246
73 0.00113353 0.001813648
74 0 0.01949671
75 0 0.002493766
76 0.2770347 0.111766
77 0.04828837 0.113353
78 0 0.001586942
79 0.2874632 0.3581954
80 0.04352754 0.08093403
81 0.006801179 0.006801179
82 0 0.009294944
83 0 0.01178871
84 0.0009068238 0.00226706
85 0 0.00113353
86 0 0.0004534119
87 0.001586942 0.02085695
88 0.03151213 0.02380413
89 0.0004534119 0.004080707
90 0 0.002040354
91 0 0.01995012
92 0.002040354 0
93 0 0.02380413
94 0.009068238 0.005894355
95 0 0.01337565
96 0 0.02335071
97 0 0.02720472
98 0.1174337 0.007708003
99 0 0.01541601
100 0 0.04987531
101 0 0.003400589
102 0 0.1038313
103 0.001586942 0.04738155
104 0.01382906 0.006347767
105 0 0.007934709
106 0 0.002947178
107 0 0.08161415
108 0 0.03083201
109 0 0.00952165
110 0.001813648 0.0006801179
111 0 0.03196554
112 0.007254591 0.04647472
113 0.01586942 0.03083201
114 0 0.02493766
115 0.000226706 0.01564271
116 0 0.02516436
117 0.03876672 0.2865563
118 0.0004534119 0.007934709
119 0 0.01428248
120 0 0.01337565
121 0.005894355 0.005214237
122 0 0.01677624
123 0 0.003627295
124 0.009068238 0
125 0 0.0006801179
126 0 0.0006801179
127 0.006121061 0.009748356
128 0.03899343 0.3162548
129 0.1076853 0.03128542
130 0 0.003627295
131 0.002947178 0.01269553
132 0.002493766 0.08161415
133 0 0
134 0 0.007254591
135 0.02607119 0.0303786
136 0 0.0006801179
137 0.002040354 0.02448424
138 0.04080707 0.01314895
139 0 0.02561777
140 0 0.006347767
141 0.03581954 0.02108365
142 0 0.06619814
143 0.0006801179 0.002720472
144 0 0.006347767
145 0 0.05667649
146 0.0911358 0.02720472
