"i" "typeI.0" "typeI.2"
"1" 1 0.003403676 0.004311323
"5" 3 0.005445882 0.009984116
"7" 4 0 0
"10" 5 0 0
"13" 6 0.001815294 0.02745632
"16" 7 0 0.007714999
"19" 8 0 0.00136147
"22" 9 0 0.08486499
"25" 10 0.007261175 0.05400499
"29" 12 0.01429544 0.02654867
"32" 13 0.4417971 0.344452
"35" 14 0 0.0174722
"38" 15 0.03131382 0.08327661
"41" 16 0.09235307 0.05287043
"44" 17 0 0.009076469
"47" 18 0 0.002042206
"50" 19 0 0.0002269117
"2" 261 0.01974132 0.01815294
"3" 262 0.002949853 0.009984116
"4" 263 0 0.001134559
"6" 265 0 0.04152485
"8" 266 0 0.006807352
"9" 267 0 0.01089176
"11" 268 0 0.0002269117
"12" 269 0 0.0009076469
"14" 270 0 0
"15" 271 0 0.00136147
"17" 272 0 0.02291808
"18" 273 0 0.01021103
"20" 274 0 0
"21" 275 0.001815294 0.007034264
"23" 276 0 0.002042206
"24" 277 0.01134559 0.2409803
"26" 278 0.009303381 0.01792603
"27" 279 0.01611073 0.06262764
"28" 280 0.07238484 0.03562514
"30" 281 0 0.006353528
"31" 282 0.002496029 0.02064897
"33" 283 0.006126617 0
"34" 284 0 0.2201044
"36" 285 0 0
"37" 286 0.03494441 0
"39" 287 0.01860676 0.01338779
"40" 288 0.02949853 0.02042206
"42" 289 0.002496029 0.02064897
"43" 290 0 0.02541411
"45" 291 0 0.004311323
"46" 292 0 0
"48" 293 0 0
"49" 294 0.02813705 0.03766735
"51" 295 0 0.0004538235
"52" 296 0 0.01225323
"53" 297 0.1220785 0.02722941
"54" 298 0 0.01724529
"55" 299 0.004311323 0.02019514
"56" 300 0 0.03380985
"57" 301 0 0.008395734
"58" 302 0 0.009303381
"59" 303 0.0004538235 0.03449058
"60" 304 0.0002269117 0.009757204
"61" 305 0.004538235 0.0004538235
"62" 306 0 0.02246426
"63" 307 0 0
"64" 308 0 0.003857499
"65" 309 0.01066485 0.002042206
"66" 310 0.003403676 0.0009076469
"67" 311 0 0.01701838
"68" 312 0 0.00521897
"69" 313 0.003176764 0.004311323
"70" 314 0 0.1023372
"71" 315 0.006126617 0.006353528
"72" 316 0 0.01996823
"73" 317 0.12344 0.07760381
"74" 318 0.001815294 0.007941911
"75" 319 0 0.04697073
"76" 320 0 0.0004538235
"77" 321 0.003630588 0.01497617
"78" 322 0 0.001134559
"79" 323 0 0.03562514
"80" 324 0 0.002496029
"81" 325 0 0.02155661
"82" 326 0 0.1009757
"83" 327 0 0.01974132
"84" 328 0 0.02632176
"85" 329 0 0.07964602
"86" 330 0 0.0009076469
"87" 331 0.1118675 0.1198094
"88" 332 0 0.008622646
"89" 333 0 0.02473338
"90" 334 0 0.002496029
"91" 335 0.006353528 0.01293397
"92" 336 0 0.009530293
"93" 337 0 0.006126617
"94" 338 0.01270706 0.0115725
"95" 339 0 0
"96" 340 0.0009076469 0.02654867
"97" 341 0 0.002269117
"98" 342 0 0.007488087
"99" 343 0 0.005445882
"100" 344 0.00136147 0.001588382
"101" 345 0 0.02541411
"102" 346 0.005899705 0.007941911
"103" 347 0 0.03154073
"104" 348 0.008622646 0.01792603
"105" 349 0 0.002496029
"106" 350 0.001815294 0.002269117
"107" 351 0.009530293 0.01543
"108" 352 0 0.009076469
"109" 353 0 0
"110" 354 0.007488087 0.007941911
"111" 355 0 0.001134559
"112" 356 0 0
"113" 357 0 0.00136147
"114" 358 0.04175176 0.004538235
"115" 359 0 0.0251872
"116" 360 0.007488087 0.02564103
"117" 361 0 0
"118" 362 0.05173587 0.01406853
"119" 363 0.0251872 0.01111867
"120" 364 0 0.0002269117
"121" 365 0.01043794 0.01452235
"122" 366 0 0.002949853
"123" 367 0.0213297 0.03789426
"124" 368 0 0.001134559
"125" 369 0 0.01066485
"126" 370 0 0.007488087
"127" 371 0 0
"128" 372 0 0.03585205
"129" 373 0.04560926 0
"130" 374 0 0.0009076469
"131" 375 0 0.01497617
"132" 376 0.006353528 0.001815294
"133" 377 0.01089176 0.03154073
"134" 378 0 0
"135" 379 0 0.06444293
"136" 380 0.07306558 0.05445882
"137" 381 0.009076469 0.01111867
"138" 382 0.006126617 0
"139" 383 0 0.007941911
"140" 384 0 0.002949853
"141" 385 0.1992285 0.004765146
