"";"p0";"h";"phiZero";"phiOne";"phiTwo";"zeroVariance";"firstVariance";"secondVariance";"ESS";"LeftIntervalZero";"RightIntervalZero";"LeftIntervalFirst";"RightIntervalFirst";"LeftIntervalSecond";"RightIntervalSecond";"ZeroInZero";"ZeroSmallerZero";"ZeroBiggerZero";"ZeroInFirst";"ZeroSmallerFirst";"ZeroBiggerFirst";"ZeroInSecond";"ZeroSmallerSecond";"ZeroBiggerSecond";"ColorCodeZero";"ColorCodeFirst";"ColorCodeSecond";"distanceZero";"distanceFirst";"distanceSecond"
"1";0,02;0,0408163265306122;0;0,525435482248561;-4,31045944187445;4,88272810054561e-05;0,261156879461819;532,508306095794;3,0577839537051;-0,0385174278356733;-0,00148257216432671;-0,828818513715299;1,87968947821242;-65,4627295390661;56,8418106553172;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"grey";"grey";"grey";0;-1,02817883973667;0,186792902254643
"2";0,04;0,0408163265306122;0,0096165331514902;0,459315855213645;-11,5753426763799;5,4868147080058e-05;0,042873006072144;242,648775571555;3,94466004550906;-0,0500129804095771;-0,0107539532874425;-0,0893922281892947;1,00802393861658;-52,8552242316389;29,7045388788791;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"grey";"grey";"grey";-1,29825016371671;-2,21829586389972;0,743095796546708
"3";0,06;0,0408163265306122;0,0177126894222529;0,222778793667993;-11,1583135883189;5,97409204658402e-05;0,0369810345711034;192,727029475398;4,56331969301168;-0,0627699229085158;-0,0218046982469784;-0,286832353063072;0,732389940399058;-47,9475441048907;25,6309169282528;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"grey";"grey";"grey";-2,29165139064594;-1,15846874071212;0,803761590521553
"4";0,08;0,0408163265306122;0,020681889637025;0,0201376390993593;-5,77408172164059;5,84801107180863e-05;0,201285892239199;156,957749742685;4,90276243504897;-0,079583431185893;-0,039052789540057;-1,16879174025858;1,20906701845729;-38,97428725242;27,4261238091388;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"grey";"grey";"grey";-2,70449462855035;-0,0448850677215157;0,460883907576844
"5";0,1;0,0408163265306122;0,0204021411694977;-0,0247803879144096;2,0621337850793;0,000219898119754824;0,47297381053462;120,819941920181;5,04925215851133;-0,118894926831419;-0,0403007908295856;-1,84728206761614;1,79772129178732;-27,0664051784496;31,1906727486082;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"olivedrab";"purple";"green";-1,37583068204052;0,036032098307379;-0,187606346638508
"6";0,12;0,0408163265306122;0,0209700754362417;0,143946175917438;9,99202676307863;0,0008151813643115;0,728050717145125;125,644132057497;5,09897703192368;-0,174691697182493;-0,0233681519450234;-2,1172081658554;2,40510051769027;-19,7123534864882;39,6964070126455;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"olivedrab";"purple";"green";-0,734467987460631;-0,168701644023649;-0,89142022488193
"7";0,14;0,0408163265306122;0,0269951647234518;0,514630196404902;15,9090298301284;0,00198449605080372;0,992009527952803;133,840158220243;5,11225299720864;-0,231057150797095;0,00504748024399915;-2,12478256487795;3,15404295768775;-14,7488848382903;46,5669444985471;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"camel";"purple";"green";-0,605983588204738;-0,51669866985119;-1,37515127390147
"8";0,16;0,0408163265306122;0,0419660394080973;1,00639062849282;18,4474231669799;0,00375484531346611;1,22003225973773;126,771196289498;5,11504094364076;-0,280418775849894;0,0443508546660885;-1,92069243999511;3,93347369698075;-11,3898880850966;48,2847344190564;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"camel";"purple";"green";-0,684860248319119;-0,911131217435913;-1,63842066088463
"9";0,18;0,0408163265306122;0,0670959131247115;1,50190696877993;17,4529361585927;0,00600123640699923;1,18916807271282;149,31323004602;5,11550144258265;-0,318195014943753;0,0923868411931764;-1,38791448357245;4,39172842113231;-14,9286811320535;49,8345534492389;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"camel";"purple";"green";-0,866115279116049;-1,37727737144129;-1,4282997323601
"10";0,2;0,0408163265306122;0,101479385341394;1,92194177412385;13,6066868770794;0,0082412311140654;0,990007488657349;186,271235225037;5,11556126979168;-0,339092813211703;0,14205158389449;-0,714806256271237;4,55868980451894;-22,561129378613;49,7745031327717;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"camel";"purple";"green";-1,1178454959681;-1,93161685606963;-0,996964039226097
