"";"p0";"h";"phiZero";"phiOne";"phiTwo";"zeroVariance";"firstVariance";"secondVariance";"ESS";"LeftIntervalZero";"RightIntervalZero";"LeftIntervalFirst";"RightIntervalFirst";"LeftIntervalSecond";"RightIntervalSecond";"ZeroInZero";"ZeroSmallerZero";"ZeroBiggerZero";"ZeroInFirst";"ZeroSmallerFirst";"ZeroBiggerFirst";"ZeroInSecond";"ZeroSmallerSecond";"ZeroBiggerSecond";"ColorCodeZero";"ColorCodeFirst";"ColorCodeSecond";"distanceZero";"distanceFirst";"distanceSecond"
"1";0,01;0,1;0;3,97347484597787;-27,2165735224409;0,000944414826888916;1,63303148919826;453,549601397311;13,9803990986776;-0,070232305842851;0,050232305842851;1,46883450879332;6,47811518316242;-68,9573463580031;14,5241993131213;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"camel";"blue";"green";0;-3;1,27797116015838
"2";0,02;0,1;0,0321372475154094;3,70415255203036;-25,9549465363511;0,00114035822992303;1,09127992074258;353,353828054129;15,0446530121421;-0,0540491497357552;0,0783236447665739;1,65668902918484;5,75161607487588;-62,7977773125628;10,8878842398605;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"camel";"blue";"green";-0,951673611322656;-3;1,38075059272472
"3";0,03;0,1;0,0679232617142042;3,44493752886812;-24,6235408129784;0,0014464510534275;0,720643988315888;273,608301448797;16,0927210631588;-0,0366185531140609;0,112465076542469;1,78110935099149;5,10876570674474;-57,0435195763215;7,79643795036469;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"camel";"blue";"green";-1,78593916688286;-3;1,48862692099781
"4";0,04;0,1;0,101128887000689;3,19780287577412;-23,2452628262172;0,00175873645300255;0,472748789166348;210,553406013307;17,114580646676;-0,0210666947580823;0,143324468759461;1,85019573490719;4,54541001664105;-51,6852388943683;5,19471324193393;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"camel";"blue";"green";-2,41143102922098;-3;1,60196611422519
"5";0,05;0,1;0,131851697997129;2,96424241166817;-21,8409035179605;0,0020237496103928;0,311311523449361;161,040826313343;18,100974769401;-0,00631944689574272;0,17002284289;1,8706746736024;4,05781014973393;-46,7132114674304;3,03140443150932;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"camel";"blue";"green";-2,93094276692008;-3;1,72108613209452
"6";0,06;0,1;0,160216835260871;2,74531302833638;-20,4290798474805;0,00222017807841773;0,209479368478481;122,448252124644;19,0436611724974;0,00786575154849943;0,192567918973243;1,84825875584497;3,6423673008278;-42,1173236261453;1,2591639311843;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"yellow";"blue";"green";-3;-3;1,8461734913614
"7";0,07;0,1;0,186369699252073;2,54167916115065;-19,0262073727637;0,00234600422231905;0,147681194958955;92,6032912172407;19,9356132547149;0,0214377309104588;0,211301667593686;1,78847850460173;3,29487981769957;-37,8870591528869;-0,165355592640545;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;"yellow";"blue";"cyan";-3;-3;1,97714724911346
"8";0,08;0,1;0,210469389473571;2,35365859473114;-17,646504854354;0,0024097253273924;0,111908542612237;69,7161455282759;20,7711649366018;0,0342568091404281;0,226681969806715;1,69799705237197;3,00932013709031;-34,0114583276881;-1,28155138101987;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;"yellow";"blue";"cyan";-3;-3;2,11345018633277
"9";0,09;0,1;0,232682924007176;2,181268785097;-16,3020311638515;0,00242456045058926;0,0923518340319033;52,3205401775033;21,5460952061496;0,0461746387192159;0,239191209295135;1,5856466167309;2,7768909534631;-30,479026634273;-2,12503569342998;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;"yellow";"blue";"cyan";-3;-3;2,25374932387197
"10";0,1;0,1;0,253180257820861;2,0242728602269;-15,0027539214609;0,00240480696177323;0,0823277974342583;39,22232847649;22,2576517974702;0,0570659148986397;0,249294600743083;1,46190390336481;2,58664181708898;-27,277563887166;-2,7279439557557;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;"yellow";"blue";"cyan";-3;-3;2,39554481390222
