"";"p0";"h";"phiZero";"phiOne";"phiTwo";"zeroVariance";"firstVariance";"secondVariance";"ESS";"LeftIntervalZero";"RightIntervalZero";"LeftIntervalFirst";"RightIntervalFirst";"LeftIntervalSecond";"RightIntervalSecond";"ZeroInZero";"ZeroSmallerZero";"ZeroBiggerZero";"ZeroInFirst";"ZeroSmallerFirst";"ZeroBiggerFirst";"ZeroInSecond";"ZeroSmallerSecond";"ZeroBiggerSecond";"ColorCodeZero";"ColorCodeFirst";"ColorCodeSecond";"distanceZero";"distanceFirst";"distanceSecond"
"1";0,02;0,0408163265306122;0;0,525435482248561;-4,31045944187445;2,62812566783644e-05;0,341019296121222;1034,61130357931;3,0577839537051;-0,0300478040031655;-0,00995219599683446;-0,619121892072084;1,66999285656921;-67,3534346106003;58,7325157268514;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"grey";"grey";"grey";0;-0,899766708521602;0,134009304609811
"2";0,04;0,0408163265306122;0,0096165331514902;0,459315855213645;-11,5753426763799;6,1211575619774e-05;0,10563789171075;705,201181572843;3,94466004550906;-0,0457177991487166;-0,015049134548303;-0,177711311327777;1,09634302175507;-63,6234098769678;40,472724524208;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"grey";"grey";"grey";-1,22914113663769;-1,41319331581194;0,435890436948978
"3";0,06;0,0408163265306122;0,0177126894222529;0,222778793667993;-11,1583135883189;0,00015106329684957;0,26725653346318;501,897965586605;4,56331969301168;-0,0663767986205826;-0,0181978225349116;-0,79046104361648;1,23601863095247;-55,0675423106627;32,7509151340248;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"grey";"grey";"grey";-1,44113620327786;-0,430932930231756;0,498070528626258
"4";0,08;0,0408163265306122;0,020681889637025;0,0201376390993593;-5,77408172164059;0,000432102440230052;0,683088032988986;255,515374021743;4,90276243504897;-0,100060026499372;-0,0185761942265782;-1,59975573690912;1,64003101510784;-37,1038086173348;25,5556451740536;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"grey";"grey";"grey";-0,994939920967256;-0,0243652131386969;0,361222179046889
"5";0,1;0,0408163265306122;0,0204021411694977;-0,0247803879144096;2,0621337850793;0,00129200823679067;1,0012736871467;131,168836698209;5,04925215851133;-0,150047815804435;-0,00914790185656937;-1,98599216572389;1,93643138989507;-20,3851307416848;24,5093983118434;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"olivedrab";"purple";"green";-0,567600941396077;0,0247646217429011;-0,180053473564215
"6";0,12;0,0408163265306122;0,0209700754362417;0,143946175917438;9,99202676307863;0,00288053873701683;1,07529936405066;137,395221738213;5,09897703192368;-0,204222466788312;0,0061626176607949;-1,88847066787204;2,17636301970692;-12,981829823648;32,9658833498053;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"camel";"purple";"green";-0,390717742331817;-0,138814693143562;-0,852447760099158
"7";0,14;0,0408163265306122;0,0269951647234518;0,514630196404902;15,9090298301284;0,00491522203349463;1,01062556411568;180,761804716787;5,11225299720864;-0,250415253499615;0,0244055829465183;-1,45571913498057;2,48497952779037;-10,4422325527991;42,2602922130559;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"camel";"purple";"green";-0,385047591724818;-0,511917675837277;-1,18328773183279
"8";0,16;0,0408163265306122;0,0419660394080973;1,00639062849282;18,4474231669799;0,00693760702344056;0,944181400731641;198,508851598041;5,11504094364076;-0,281283866241815;0,0452159450580096;-0,898086719804053;2,9108679767897;-9,16713058565485;46,0619769196147;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"camel";"purple";"green";-0,503840571828861;-1,03571165495274;-1,30931990930329
"9";0,18;0,0408163265306122;0,0670959131247115;1,50190696877993;17,4529361585927;0,00860378119875684;0,994477569968439;181,121890650802;5,11550144258265;-0,294703622565803;0,0688954488152261;-0,452637641388312;3,45645157894817;-8,92455963728071;43,8304319544661;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"camel";"purple";"green";-0,723354835504809;-1,50607131278779;-1,29682994018977
"10";0,2;0,0408163265306122;0,101479385341394;1,92194177412385;13,6066868770794;0,00994633315523528;1,10200779115941;197,102873689756;5,11556126979168;-0,293990380179366;0,096949150862154;-0,13556097188233;3,97944452013003;-13,9099003517118;41,1232741058705;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"camel";"purple";"green";-1,01752790214131;-1,83082946789634;-0,96918327866202
"11";0,22;0,0408163265306122;0,143338843724488;2,24608984402756;7,21808978063778;0,0113555034348022;1,23775342016955;272,635676500315;5,11556738335965;-0,285519239272181;0,132196926721157;0,065544317386427;4,42663537066868;-25,1442142833198;39,5803938445954;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"camel";"blue";"green";-1,34511897866118;-2,01887791222426;-0,437150456879324
"12";0,24;0,0408163265306122;0,190254361090971;2,40488941396235;-1,88692758716558;0,0133209633202174;1,61684370301171;305,984189273758;5,1155678747387;-0,275957778385654;0,176466500567597;-0,0873061049763413;4,89708493290104;-36,1714089581681;32,3975537838369;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"camel";"purple";"green";-1,64841593604446;-1,89130291036519;0,107871257326576
"13";0,26;0,0408163265306122;0,237183940590149;2,21317539216154;-11,9630015195018;0,0161955336628088;1,94137177438493;311,539052989945;5,11556790580321;-0,272244357012279;0,226612238192577;-0,517703537223209;4,94405432154629;-46,5572849070633;22,6312818680598;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"camel";"purple";"green";-1,86374996636891;-1,58840584744788;0,677772447619244
"14";0,28;0,0408163265306122;0,275649399437804;1,56562988266748;-17,4411104668896;0,0197346790964571;1,81099290174704;384,73418801888;5,11556790734789;-0,279686680814409;0,270985479690017;-1,07195512195903;4,20321488729399;-55,8851027177956;21,0028817840164;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"camel";"purple";"green";-1,96219432906614;-1,16340446953006;0,889188306520963
"15";0,3;0,0408163265306122;0,298450156481871;0,727159764157649;-12,0408047455502;0,0231926132691039;1,66140270502319;443,456562374734;5,1155679074083;-0,300035134307385;0,296935447271128;-1,79914387474572;3,25346340306102;-53,3145266897742;29,2329171986738;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"camel";"purple";"green";-1,95973327978099;-0,564147130538232;0,571781330456437
"16";0,32;0,0408163265306122;0,307450195882192;0,292132054270365;4,61589959209106;0,0263129025625408;1,86200554748713;406,886233012953;5,11556790741016;-0,330480506703981;0,305380898468364;-2,38234315305084;2,96660726159157;-34,9193594664583;44,1511586506404;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"camel";"purple";"green";-1,89535425823038;-0,214086226536049;-0,228833632868158
"17";0,34;0,0408163265306122;0,316167470190571;0,740755239953349;23,9452962884018;0,0295288876722245;2,0869312147776;368,414877033224;5,1155679074102;-0,360632182442493;0,312967122823635;-2,09065082827305;3,57216130817975;-13,6745200196853;61,565112596489;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"camel";"purple";"green";-1,83989754684155;-0,512767705049574;-1,24753183109826
"18";0,36;0,0408163265306122;0,342463305456217;1,97338913873692;33,2567505300724;0,0330650144150151;2,08251873447338;405,278015114001;5,1155679074102;-0,373932389356358;0,338859000268792;-0,855022069309662;4,80180034678351;-6,20029961300199;72,7138006731468;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"camel";"purple";"green";-1,88334414385592;-1,36747147246603;-1,65197431245924
"19";0,38;0,0408163265306122;0,39556697248586;3,27270393832663;25,6512464856562;0,0364082427468788;1,97296678802161;468,877985447331;5,1155679074102;-0,358412659641306;0,389546604613027;0,519692737698825;6,02571513895444;-16,7890112070811;68,0915041783934;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"camel";"blue";"green";-2,07309958335433;-2,32995123656592;-1,18461861458135
"20";0,4;0,0408163265306122;0,468433338453042;3,85369716061217;6,14570389916148;0,0386179167334487;1,94239214755725;480,572683848948;5,1155679074102;-0,316727844524342;0,453594521430425;1,12210065884241;6,58529366238193;-36,820563978747;49,11197177707;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"camel";"blue";"green";-2,38370976386718;-2,76508907418449;-0,280344532977162
"21";0,42;0,0408163265306122;0,543384481335846;3,50775382919251;-12,8849067309428;0,038986040195596;1,90085678115394;448,479504118435;5,1155679074102;-0,263608112899894;0,510377075571586;0,805520854624987;6,20998680376004;-54,3917199908919;28,6219065290063;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"camel";"blue";"green";-2,75202685798032;-2,54421851726167;0,608429102437836
"22";0,44;0,0408163265306122;0,605200654145006;2,63442991064295;-21,9163866932711;0,0374385921732545;1,71846202603305;410,235944101854;5,1155679074102;-0,214033851323996;0,544435159614008;0,0651107191191445;5,20374910216675;-61,6140501766028;17,7812767900606;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"camel";"blue";"green";-3;-2,00963265354079;1,082061885282
"23";0,46;0,0408163265306122;0,648986046235689;1,78821811305409;-19,3491897500351;0,0345400677015987;1,54360520361694;336,974346650776;5,1155679074102;-0,175272444042408;0,553244536513787;-0,64687856369278;4,22331478980096;-55,327976226086;16,6295967260158;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"camel";"purple";"green";-3;-1,43930347059996;1,05405764770149
"24";0,48;0,0408163265306122;0,679549252927434;1,35549780158012;-9,91975079695713;0,0312945458505444;1,42242743220943;234,591257204536;5,1155679074102;-0,147173560278145;0,546272066133012;-0,982064263105691;3,69305986626594;-39,9392886722491;20,0997870783348;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"camel";"purple";"green";-3;-1,13653746882539;0,647656682072072
"25";0,5;0,0408163265306122;0,706697849271729;1,43392780627014;-1,18529603437599;0,0286130095125046;1,08821558637105;192,7838327482;5,1155679074102;-0,124837515023568;0,538233213567027;-0,610659037833552;3,47851465037383;-28,3987330609221;26,0281409921702;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"camel";"purple";"green";-3;-1,37457935074998;0,0853672961680259
