"";"p0";"h";"phiZero";"phiOne";"phiTwo";"zeroVariance";"firstVariance";"secondVariance";"ESS";"LeftIntervalZero";"RightIntervalZero";"LeftIntervalFirst";"RightIntervalFirst";"LeftIntervalSecond";"RightIntervalSecond";"ZeroInZero";"ZeroSmallerZero";"ZeroBiggerZero";"ZeroInFirst";"ZeroSmallerFirst";"ZeroBiggerFirst";"ZeroInSecond";"ZeroSmallerSecond";"ZeroBiggerSecond";"ColorCodeZero";"ColorCodeFirst";"ColorCodeSecond";"distanceZero";"distanceFirst";"distanceSecond"
"1";0,02;0,0408163265306122;0,0305495342131347;2,82811780054051;28,9794099555832;0,00107125586544164;4,52098192168022;7775,94274450149;7,07926985144582;-0,0536001757902715;0,074699244216541;-1,33927537520343;6,99551097628445;-143,852774099001;201,811594010168;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;"camel";"purple";"green";-0,933378916273182;-1,33009025050931;-0,328634392470712
"2";0,04;0,0408163265306122;0,0947922150209726;3,21010610606544;-2,60142512968595;0,00309502790739474;1,0714638811727;3208,0888114584;8,83603881132929;-0,0542464123326216;0,163830842374567;1,18131721182681;5,23889500030407;-113,613771570733;108,410921311361;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"camel";"blue";"green";-1,70388542083714;-3;0,0459291216348586
"3";0,06;0,0408163265306122;0,160118095873338;2,93217077522309;-18,2864449827495;0,00396947193949948;0,439446266375899;1182,01436845853;9,99320535967657;-0,0233669760806758;0,223603167827353;1,63289607902109;4,23144547142509;-85,6708609993792;49,0979710338802;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"camel";"blue";"green";-2,54140598712809;-3;0,531885199726553
"4";0,08;0,0408163265306122;0,21562627924325;2,41685578003246;-22,3508164291087;0,00382572249994513;0,393517281350304;397,897905131376;10,5949361674055;0,0143977535451202;0,25685480494138;1,18735163951943;3,6463599205455;-61,4469596839445;16,745326825727;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"yellow";"blue";"green";-3;-3;1,12048891729751
"5";0,1;0,0408163265306122;0,259512945667404;1,91469759439334;-20,3039507578396;0,00333501007360734;0,347122111901347;147,292329099556;10,8419398448231;0,0463259152073615;0,272699976127447;0,75994424470285;3,06945094408383;-44,090867683748;3,48296616806892;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"yellow";"blue";"green";-3;-3;1,67297898896245
"6";0,12;0,0408163265306122;0,293819552322964;1,52182932045172;-15,7763384213145;0,00285660451405275;0,280522695498262;71,3290916253196;10,921971037483;0,0690649409316622;0,278574163714265;0,483746287632721;2,55991235327072;-32,3295184238452;0,776841581216251;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"yellow";"blue";"green";-3;-2,87330643542317;1,86798277484837
"7";0,14;0,0408163265306122;0,32145132449072;1,26577960119306;-10,6929906603385;0,00250692437717114;0,223148665282418;44,7807099508964;10,9424364768043;0,0833175038094832;0,279585145171957;0,339919779959162;2,19163942242696;-23,8087542003622;2,42277287968526;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"yellow";"blue";"green";-3;-2,67954432604882;1,59791509791497
"8";0,16;0,0408163265306122;0,345291848831761;1,14091442806874;-6,22618792078142;0,00230658773029054;0,181759821889824;34,4416605302669;10,9465663100172;0,091160760544047;0,279422937119475;0,305317114139084;1,9765117419984;-17,7286320368529;5,27625619529003;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"yellow";"blue";"green";-3;-2,67611103001354;1,06091400771593
"9";0,18;0,0408163265306122;0,367706521049624;1,11463337605184;-3,1032041471202;0,00223941362735476;0,157087491925318;29,5580575669502;10,9472238636965;0,0949562367806014;0,280456805318647;0,3378160671064;1,89145068499727;-13,7590035522866;7,55259525804624;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"yellow";"blue";"green";-3;-2,8122973675672;0,570784803069961
"10";0,2;0,0408163265306122;0,390223095141297;1,14213473528937;-1,66433042679932;0,00226891388189348;0,13610750200332;28,2224519244323;10,9473064579819;0,0968639003879412;0,283582289894653;0,41905011774223;1,86521935283651;-12,0766014032351;8,74794054963642;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"yellow";"blue";"green";-3;-3;0,313286861462136
"11";0,22;0,0408163265306122;0,413381049519373;1,16799840854551;-1,86224680032092;0,00233816376161409;0,120409271002606;27,7351879622832;10,9473146410902;0,0986078475776856;0,28815425146106;0,487890140557012;1,848106676534;-12,1842418807946;8,45974828015272;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"yellow";"blue";"green";-3;-3;0,353607672789792
"12";0,24;0,0408163265306122;0,436510600700582;1,13045072435094;-2,95803585183903;0,00240254280598942;0,116869109326479;25,9522667372307;10,9473152804766;0,100441514860426;0,292579686540738;0,460415000759377;1,8004864479425;-12,9427523713373;7,02668066765924;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"yellow";"blue";"green";-3;-3;0,580651811522245
"13";0,26;0,0408163265306122;0,458018844424758;1,00897473343103;-3,50561029394181;0,00246538268691476;0,117331537028077;24,80305290065;10,947315319869;0,100701497209396;0,29533619164012;0,337614719830205;1,68033474703186;-13,2667529701527;6,25553238226906;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"yellow";"blue";"green";-3;-2,94559416523654;0,703900162908589
"14";0,28;0,0408163265306122;0,476710500134493;0,865613536734892;-2,28118190992906;0,00256356776172923;0,121743746558024;24,0804815289288;10,9473153217823;0,0974742164941741;0,295946783774812;0,181746891050463;1,54948018241932;-11,8990911513321;7,33672733147395;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"yellow";"blue";"green";-3;-2,48085115312615;0,464865520501942
"15";0,3;0,0408163265306122;0,493257432729392;0,812752420470845;0,48822871557576;0,00272910522078829;0,130441835413008;23,5393995233735;10,9473153218556;0,0908672704919991;0,295647594966784;0,104877474428233;1,52062736651346;-9,02101068265721;9,99746811380873;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;"yellow";"blue";"green";-3;-2,25034871113339;-0,100629572847283
