"DIE_Location" "Vth" "F10e4Hz" "F10e3Hz" "F10e2Hz" "Bias_cond"
"1" "0_0" 0.422 1.65288e-13 5.73078e-13 1.20643e-11 "vd05vg05"
"2" "0_1" 0.414 2.88567e-13 1.7339e-12 1.46535e-11 "vd05vg05"
"3" "0_2" 0.39 1.77877e-13 1.43023e-12 1.1544e-11 "vd05vg05"
"4" "0_3" 0 0 0 0 "vd05vg05"
"5" "0_4" 0 0 0 0 "vd05vg05"
"6" "0_5" 0 0 0 0 "vd05vg05"
"7" "0_6" 0.398 3.52402e-13 1.24936e-12 2.16851e-11 "vd05vg05"
"8" "0_m1" 0.438 2.07831e-13 1.29884e-12 1.10133e-11 "vd05vg05"
"9" "0_m2" 0.394 2.42012e-13 1.33322e-12 1.2985e-11 "vd05vg05"
"10" "0_m3" 0.402 2.13098e-13 9.8833e-13 1.59887e-11 "vd05vg05"
"11" "0_m4" 0.402 4.8043e-13 6.20556e-12 7.90004e-11 "vd05vg05"
"12" "0_m5" 0.434 3.25588e-13 1.49648e-12 2.47222e-11 "vd05vg05"
"13" "0_m6" 0.44 3.49353e-13 2.56041e-12 2.37606e-11 "vd05vg05"
"14" "0_m7" 0.398 4.22896e-13 1.7444e-12 3.16825e-11 "vd05vg05"
"15" "1_0" 0.414 2.61589e-13 1.24489e-12 1.4817e-11 "vd05vg05"
"16" "1_1" 0.418 3.51323e-13 1.47387e-12 1.64945e-11 "vd05vg05"
"17" "1_2" 0.414 3.30779e-13 1.38067e-12 3.26669e-11 "vd05vg05"
"18" "1_3" 0.372 2.0285e-13 1.84448e-12 3.70622e-11 "vd05vg05"
"19" "1_4" 0.394 2.7344e-13 4.65667e-12 5.75477e-11 "vd05vg05"
"20" "1_5" 0.394 5.0993e-13 2.53333e-12 3.21452e-11 "vd05vg05"
"21" "1_m1" 0.434 2.65537e-13 1.16755e-12 1.10684e-11 "vd05vg05"
"22" "1_m2" 0.382 2.04333e-13 8.2211e-13 1.75408e-11 "vd05vg05"
"23" "1_m3" 0.41 1.79662e-13 1.2529e-12 1.57489e-11 "vd05vg05"
"24" "1_m4" 0 0 0 0 "vd05vg05"
"25" "1_m5" 0.446 2.26818e-13 1.15079e-12 1.87567e-11 "vd05vg05"
"26" "1_m6" 0.45 2.32784e-13 1.41373e-12 2.0364e-11 "vd05vg05"
"27" "2_0" 0.392 2.44018e-13 1.40311e-12 1.09006e-11 "vd05vg05"
"28" "2_1" 0.422 2.66332e-13 6.58731e-13 1.06431e-11 "vd05vg05"
