"DIE_Location" "Vth" "F10e4Hz" "F10e3Hz" "F10e2Hz"
"1" "0_0" 0.422 -29.4310869880002 -28.1877545618058 -25.1407704375981
"2" "0_1" 0.414 -28.8738491002232 -27.0806479093601 -24.9463419011496
"3" "0_2" 0.39 -29.3576840947129 -27.2731858454291 -25.184855294457
"4" "0_6" 0.398 -28.6740038254959 -27.4083896957311 -24.5543957271693
"5" "0_m1" 0.438 -29.2020511454664 -27.3695495574969 -25.2319174825828
"6" "0_m2" 0.394 -29.0497890832065 -27.3434240470895 -25.0672262708138
"7" "0_m3" 0.402 -29.1770242411153 -27.6427597448339 -24.8591388932008
"8" "0_m4" 0.402 -28.3640948586946 -25.8055754515457 -23.2615682001832
"9" "0_m5" 0.434 -28.7531436164983 -27.2279054322244 -24.4233194905353
"10" "0_m6" 0.44 -28.6826935225725 -26.6908537140107 -24.4629923692277
"11" "0_m7" 0.398 -28.4916501089778 -27.0746104589421 -24.1752566379545
"12" "1_0" 0.414 -28.9720018251414 -27.4119739433289 -24.935245945702
"13" "1_1" 0.418 -28.6770703666747 -27.2431295214375 -24.8279941239233
"14" "1_2" 0.414 -28.737325916243 -27.3084522273336 -24.1446587830945
"15" "1_3" 0.372 -29.2263096052582 -27.0188237209796 -24.0184235336384
"16" "1_4" 0.394 -28.9276941755434 -26.0927205155084 -23.5784069468069
"17" "1_5" 0.394 -28.3045029335146 -26.7014864730947 -24.1607579765468
"18" "1_m1" 0.434 -28.9570222042397 -27.4761135797322 -25.2269269144328
"19" "1_m2" 0.382 -29.2190253789653 -27.8269021888563 -24.7664915199904
"20" "1_m3" 0.41 -29.3476990870331 -27.4055602516592 -24.8742505943658
"21" "1_m5" 0.446 -29.114628461127 -27.4905724528783 -24.6994700940071
"22" "1_m6" 0.45 -29.0886654099377 -27.2847895143532 -24.6172524798885
"23" "2_0" 0.392 -29.0415344018466 -27.2923299144604 -25.2422032823369
"24" "2_1" 0.422 -28.9540327440829 -28.0484611379758 -25.2661093210667
"25" "2_2" 0.398 -29.2192113671996 -27.2462009897977 -24.8148222895609
"26" "2_3" 0.398 -28.7217098788011 -27.0512834239401 -24.4290310565371
"27" "2_m1" 0.414 -28.806014573891 -27.7941284537987 -25.2570739601989
"28" "2_m2" 0.418 -28.9679806993031 -27.6630010667864 -24.8177644110277
"29" "2_m3" 0.398 -29.2207446402535 -27.4940805411749 -24.9463964971054
"30" "2_m4" 0.466 -26.3119355045021 -23.1508100270466 -21.1302315704298
"31" "2_m5" 0.446 -28.7884475413307 -27.6255063502405 -25.1506162506506
"32" "3_0" 0.398 -28.8440313013065 -27.3338615966929 -25.0093715692541
"33" "3_1" 0.43 -28.9947636909781 -27.5075034436663 -25.0695007075222
"34" "3_2" 0.418 -28.9949436040728 -27.5731013253428 -24.8709858597604
"35" "3_3" 0.394 -29.4934949375419 -28.1148510900741 -24.9110686947694
"36" "3_m1" 0.498 -28.5136836668227 -26.8117215759682 -24.5266183108684
"37" "3_m2" 0.418 -28.8494952244285 -27.6034935013663 -24.7089784405204
"38" "3_m3" 0.434 -28.8547341494975 -27.1587201276341 -24.713207141536
"39" "3_m4" 0.442 -28.9304371089041 -28.5711128579887 -24.5632193751323
"40" "4_0" 0.422 -29.0550090368942 -27.4737439002409 -25.1298474936767
"41" "4_1" 0.352 -29.0056952541128 -27.8047711137207 -25.3377391632606
"42" "4_2" 0.426 -28.8970679252528 -27.1543336235451 -25.0744762078878
"43" "4_m1" 0.426 -28.8079690700961 -27.3213623106734 -25.3871706194745
"44" "4_m2" 0.418 -29.0877980289871 -27.2961501606743 -24.7754823778726
"45" "4_m3" 0.402 -28.8492517484012 -27.2351014206639 -24.7289623622377
"46" "5_0" 0.41 -29.1248383288709 -27.8916588716703 -25.2239228661839
"47" "5_1" 0.434 -28.7839935020843 -27.6159059281197 -25.062095060637
"48" "5_2" 0.402 -29.1281710629882 -27.5702929700591 -24.9974430558456
"49" "5_m2" 0.388 -28.8086408982891 -27.933483886697 -24.6268892181962
"50" "6_0" 0.414 -28.9569996087738 -27.8135867024953 -24.9420110329066
"51" "6_m1" 0.43 -28.9266268693665 -26.9917284014951 -24.6363243783569
"52" "m1_0" 0.434 -29.0134270468016 -27.6286439436428 -25.4373372439424
"53" "m1_1" 0.41 -28.6296532370883 -27.8932914848044 -25.0517062080969
"54" "m1_2" 0.392 -28.9590012869308 -27.2279856236146 -24.9090548604999
"55" "m1_3" 0.394 -28.451735794255 -26.3481391692485 -23.6983350691529
"56" "m1_4" 0.43 -28.7514404594161 -27.5590819224475 -25.0814587643689
"57" "m1_5" 0.366 -29.1064396298324 -27.1393232672227 -24.9061793521865
"58" "m1_m1" 0.434 -29.323411381619 -27.6024433772968 -24.9089693951905
"59" "m1_m2" 0.394 -28.7179489346678 -27.138846343008 -24.844239836193
"60" "m1_m3" 0.414 -29.5048087625714 -27.8151639302055 -24.7726217372757
"61" "m1_m5" 0.438 -28.760440095127 -27.2886165106542 -24.6473513022026
"62" "m1_m6" 0.41 -28.8179434426635 -27.163313871357 -24.6661295659262
"63" "m2_0" 0.414 -28.644340503341 -27.5530605744593 -25.0483829776472
"64" "m2_1" 0.422 -28.5930338486028 -27.1125011695299 -25.1869538219226
"65" "m2_2" 0.418 -28.7623632292196 -26.9681012109887 -24.3626391927567
"66" "m2_3" 0.37 -28.8506559317442 -27.0593638329563 -24.8512333689621
"67" "m2_4" 0.394 -28.9540214800098 -26.5975982268401 -24.1139684815159
"68" "m2_m1" 0.438 -29.366748138313 -27.4675341551243 -25.283166334087
"69" "m2_m2" 0.414 -28.9625432412015 -27.2547033613852 -24.7808060646465
"70" "m2_m3" 0.422 -28.8325967956548 -27.7776145901704 -24.584182315427
"71" "m2_m4" 0.422 -29.2351929186901 -27.4944294108408 -24.8994236733703
"72" "m3_2" 0.374 -28.3958920362614 -26.4889152047186 -23.7345707368783
"73" "m3_3" 0.41 -28.6080708536483 -27.3699731019542 -24.706038613449
"74" "m3_m1" 0.43 -28.8653775292223 -27.4522642383944 -25.291612411304
