"DIE" "lognoise" "Vth" "Freq" "biasCond"
"1" "0_0" 1.03854931284183 0.422 100 "vd05vg05"
"2" "0_1" 1.23297784929039 0.414 100 "vd05vg05"
"3" "0_2" 0.994464455982989 0.39 100 "vd05vg05"
"4" "0_6" 1.6249240232707 0.398 100 "vd05vg05"
"5" "0_m1" 0.947402267857122 0.438 100 "vd05vg05"
"6" "0_m2" 1.11209347962613 0.394 100 "vd05vg05"
"7" "0_m3" 1.32018085723918 0.402 100 "vd05vg05"
"8" "0_m4" 2.91775155025676 0.402 100 "vd05vg05"
"9" "0_m5" 1.75600025990468 0.434 100 "vd05vg05"
"10" "0_m6" 1.71632738121227 0.44 100 "vd05vg05"
"11" "0_m7" 2.0040631124855 0.398 100 "vd05vg05"
"12" "1_0" 1.24407380473802 0.414 100 "vd05vg05"
"13" "1_1" 1.35132562651672 0.418 100 "vd05vg05"
"14" "1_2" 2.03466096734551 0.414 100 "vd05vg05"
"15" "1_3" 2.16089621680153 0.372 100 "vd05vg05"
"16" "1_4" 2.60091280363307 0.394 100 "vd05vg05"
"17" "1_5" 2.01856177389315 0.394 100 "vd05vg05"
"18" "1_m1" 0.952392836007125 0.434 100 "vd05vg05"
"19" "1_m2" 1.41282823044956 0.382 100 "vd05vg05"
"20" "1_m3" 1.3050691560742 0.41 100 "vd05vg05"
"21" "1_m5" 1.47984965643282 0.446 100 "vd05vg05"
"22" "1_m6" 1.56206727055151 0.45 100 "vd05vg05"
"23" "2_0" 0.937116468103106 0.392 100 "vd05vg05"
"24" "2_1" 0.913210429373219 0.422 100 "vd05vg05"
"25" "2_2" 1.36449746087909 0.398 100 "vd05vg05"
"26" "2_3" 1.75028869390284 0.398 100 "vd05vg05"
"27" "2_m1" 0.92224579024111 0.414 100 "vd05vg05"
"28" "2_m2" 1.36155533941224 0.418 100 "vd05vg05"
"29" "2_m3" 1.23292325333457 0.398 100 "vd05vg05"
"30" "2_m4" 5.04908818001012 0.466 100 "vd05vg05"
"31" "2_m5" 1.02870349978934 0.446 100 "vd05vg05"
"32" "3_0" 1.16994818118591 0.398 100 "vd05vg05"
"33" "3_1" 1.10981904291773 0.43 100 "vd05vg05"
"34" "3_2" 1.30833389067958 0.418 100 "vd05vg05"
"35" "3_3" 1.26825105567059 0.394 100 "vd05vg05"
"36" "3_m1" 1.65270143957157 0.498 100 "vd05vg05"
"37" "3_m2" 1.47034130991954 0.418 100 "vd05vg05"
"38" "3_m3" 1.46611260890398 0.434 100 "vd05vg05"
"39" "3_m4" 1.61610037530768 0.442 100 "vd05vg05"
"40" "4_0" 1.04947225676329 0.422 100 "vd05vg05"
"41" "4_1" 0.841580587179319 0.352 100 "vd05vg05"
"42" "4_2" 1.10484354255221 0.426 100 "vd05vg05"
"43" "4_m1" 0.792149130965466 0.426 100 "vd05vg05"
"44" "4_m2" 1.40383737256733 0.418 100 "vd05vg05"
"45" "4_m3" 1.45035738820223 0.402 100 "vd05vg05"
"46" "5_0" 0.955396884256114 0.41 100 "vd05vg05"
"47" "5_1" 1.11722468980299 0.434 100 "vd05vg05"
"48" "5_2" 1.18187669459437 0.402 100 "vd05vg05"
"49" "5_m2" 1.55243053224374 0.388 100 "vd05vg05"
"50" "6_0" 1.23730871753339 0.414 100 "vd05vg05"
"51" "6_m1" 1.54299537208305 0.43 100 "vd05vg05"
"52" "m1_0" 0.741982506497525 0.434 100 "vd05vg05"
"53" "m1_1" 1.12761354234305 0.41 100 "vd05vg05"
"54" "m1_2" 1.27026488994009 0.392 100 "vd05vg05"
"55" "m1_3" 2.48098468128712 0.394 100 "vd05vg05"
"56" "m1_4" 1.09786098607107 0.43 100 "vd05vg05"
"57" "m1_5" 1.27314039825346 0.366 100 "vd05vg05"
"58" "m1_m1" 1.27035035524944 0.434 100 "vd05vg05"
"59" "m1_m2" 1.33507991424698 0.394 100 "vd05vg05"
"60" "m1_m3" 1.40669801316431 0.414 100 "vd05vg05"
"61" "m1_m5" 1.53196844823741 0.438 100 "vd05vg05"
"62" "m1_m6" 1.51319018451373 0.41 100 "vd05vg05"
"63" "m2_0" 1.13093677279275 0.414 100 "vd05vg05"
"64" "m2_1" 0.992365928517344 0.422 100 "vd05vg05"
"65" "m2_2" 1.81668055768323 0.418 100 "vd05vg05"
"66" "m2_3" 1.32808638147789 0.37 100 "vd05vg05"
"67" "m2_4" 2.06535126892404 0.394 100 "vd05vg05"
"68" "m2_m1" 0.896153416352949 0.438 100 "vd05vg05"
"69" "m2_m2" 1.3985136857935 0.414 100 "vd05vg05"
"70" "m2_m3" 1.59513743501301 0.422 100 "vd05vg05"
"71" "m2_m4" 1.27989607706969 0.422 100 "vd05vg05"
"72" "m3_2" 2.44474901356164 0.374 100 "vd05vg05"
"73" "m3_3" 1.47328113699096 0.41 100 "vd05vg05"
"74" "m3_m1" 0.887707339135947 0.43 100 "vd05vg05"
"75" "m3_m2" 1.36696551341716 0.426 100 "vd05vg05"
"76" "m3_m3" 1.25198599893389 0.422 100 "vd05vg05"
"77" "m3_m4" 1.42233209073317 0.418 100 "vd05vg05"
"78" "m4_0" 1.27936850489893 0.408 100 "vd05vg05"
"79" "m4_1" 1.04379072695773 0.41 100 "vd05vg05"
"80" "m4_2" 4.24214187825284 0.394 100 "vd05vg05"
"81" "m4_m2" 1.22678956670531 0.422 100 "vd05vg05"
"82" "m4_m3" 1.6759315968148 0.414 100 "vd05vg05"
"83" "m5_0" 1.03449611748234 0.422 100 "vd05vg05"
"84" "m5_1" 0.998415407144982 0.4 100 "vd05vg05"
"85" "m5_2" 2.79132609832597 0.496 100 "vd05vg05"
"86" "m5_m1" 1.60328517961595 0.438 100 "vd05vg05"
"87" "m5_m2" 1.13645357077097 0.41 100 "vd05vg05"
"88" "m6_0" 0.950620459292999 0.438 100 "vd05vg05"
"89" "m6_m1" 1.30029554312939 0.41 100 "vd05vg05"
"90" "0_0" 3.49063367434888 0.422 100 "vd1vg05"
"91" "0_1" 6.29206691007735 0.414 100 "vd1vg05"
"92" "0_2" 3.65249712878586 0.39 100 "vd1vg05"
"93" "0_6" 3.71047549336682 0.398 100 "vd1vg05"
"94" "0_m1" 4.05252386765955 0.438 100 "vd1vg05"
"95" "0_m2" 4.49035232486017 0.394 100 "vd1vg05"
"96" "0_m3" 4.51211959418257 0.402 100 "vd1vg05"
"97" "0_m4" 3.90349243070115 0.402 100 "vd1vg05"
"98" "0_m5" 4.59340583909101 0.434 100 "vd1vg05"
"99" "0_m6" 4.8488073265651 0.44 100 "vd1vg05"
"100" "0_m7" 5.0020999958041 0.398 100 "vd1vg05"
"101" "1_0" 3.74417898558524 0.414 100 "vd1vg05"
"102" "1_1" 4.10799131513821 0.418 100 "vd1vg05"
"103" "1_2" 4.18964881282496 0.414 100 "vd1vg05"
"104" "1_3" 4.02115737053445 0.372 100 "vd1vg05"
"105" "1_4" 3.7457343292782 0.394 100 "vd1vg05"
"106" "1_5" 4.20788537442492 0.394 100 "vd1vg05"
"107" "1_m1" 4.06960754082049 0.434 100 "vd1vg05"
"108" "1_m2" 4.26372637244791 0.382 100 "vd1vg05"
"109" "1_m3" 4.5245784752942 0.41 100 "vd1vg05"
"110" "1_m5" 4.82760774086949 0.446 100 "vd1vg05"
"111" "1_m6" 4.88721951443278 0.45 100 "vd1vg05"
"112" "2_0" 3.84443863231165 0.392 100 "vd1vg05"
"113" "2_1" 4.43100523455511 0.422 100 "vd1vg05"
"114" "2_2" 4.16264862183607 0.398 100 "vd1vg05"
