"DIE_Location" "Vth" "F10e4Hz" "F10e3Hz" "F10e2Hz" "Bias_cond"
"90" "0_0" 0.422 -2.06687596668696 -1.30470744196519 1.35176860952716 "vd1vg05"
"91" "0_1" 0.414 -0.675279862289251 1.5805821165916 4.15320184525562 "vd1vg05"
"92" "0_2" 0.39 -1.90051674138382 -0.805573706761958 1.51363206396413 "vd1vg05"
"93" "0_6" 0.398 -1.90141940430053 -1.06090154318053 1.57161042854509 "vd1vg05"
"94" "0_m1" 0.438 -1.89664032143101 -0.765219237577902 1.91365880283783 "vd1vg05"
"95" "0_m2" 0.394 -2.24058082620629 -1.08023572818215 2.35148726003845 "vd1vg05"
"96" "0_m3" 0.402 -1.41864598583821 -1.00932739607449 2.37325452936085 "vd1vg05"
"97" "0_m4" 0.402 -1.49491694978627 -1.03547317737215 1.76462736587942 "vd1vg05"
"98" "0_m5" 0.434 -1.10298004090055 -0.551367662011153 2.45454077426928 "vd1vg05"
"99" "0_m6" 0.44 -1.07654606113421 -0.676065904391105 2.70994226174337 "vd1vg05"
"100" "0_m7" 0.398 -1.08034134753821 -0.692391860351123 2.86323493098238 "vd1vg05"
"101" "1_0" 0.414 -2.09085856605198 -1.22245580343607 1.60531392076352 "vd1vg05"
"102" "1_1" 0.418 -1.88219400481868 -1.13735686726556 1.96912625031649 "vd1vg05"
"103" "1_2" 0.414 -1.6653445291688 -0.18926238766997 2.05078374800324 "vd1vg05"
"104" "1_3" 0.372 -1.65118468786058 -0.567715221775522 1.88229230571272 "vd1vg05"
"105" "1_4" 0.394 -1.58528151581399 -0.952902928765099 1.60686926445647 "vd1vg05"
"106" "1_5" 0.394 -1.36550621737969 -0.834088035303903 2.0690203096032 "vd1vg05"
"107" "1_m1" 0.434 -1.63783673019933 -0.634927250322761 1.93074247599877 "vd1vg05"
"108" "1_m2" 0.382 -1.36038860264588 -0.647639119454688 2.12486130762618 "vd1vg05"
"109" "1_m3" 0.41 -1.7833930350299 -0.752078784575001 2.38571341047247 "vd1vg05"
"110" "1_m5" 0.446 -1.49707160029228 -0.578798419210933 2.68874267604776 "vd1vg05"
"111" "1_m6" 0.45 -1.23607223257883 -0.877860417671904 2.74835444961105 "vd1vg05"
"112" "2_0" 0.392 -1.78940298407363 -0.656230951621641 1.70557356748992 "vd1vg05"
"113" "2_1" 0.422 -1.4306030649821 -0.214170750521877 2.29214016973338 "vd1vg05"
"114" "2_2" 0.398 -1.4188511322793 -0.735142748517031 2.02378355701434 "vd1vg05"
"115" "2_3" 0.398 -1.52973447787964 -0.0719594160313406 1.99520923365374 "vd1vg05"
"116" "2_m1" 0.414 -0.975867661943926 -1.43753526508189 1.77240507569125 "vd1vg05"
"117" "2_m2" 0.418 -1.95609840127111 -0.582994522652125 2.20488931557828 "vd1vg05"
"118" "2_m3" 0.398 -1.98343918541345 -1.02547092968205 1.47982094818956 "vd1vg05"
"119" "2_m4" 0.466 -2.0284255972517 -0.0416935734971062 3.15275986087946 "vd1vg05"
"120" "2_m5" 0.446 -1.58153762926185 -0.524731068454855 2.78386963020237 "vd1vg05"
"121" "3_0" 0.398 -1.48943433869991 -1.50854322399626 1.65271908319312 "vd1vg05"
"122" "3_1" 0.43 -0.230333414413824 2.73658433029792 5.47758345275733 "vd1vg05"
"123" "3_2" 0.418 -1.83250163760635 -0.758094537531758 1.94204409898059 "vd1vg05"
"124" "3_3" 0.394 -1.76834565359975 -1.50229399599572 1.40460321817394 "vd1vg05"
"125" "3_m1" 0.498 -1.01335410973828 -0.882956326036503 2.0887218287402 "vd1vg05"
"126" "3_m2" 0.418 -1.85011779948335 -0.0774312110739714 2.70250713259107 "vd1vg05"
"127" "3_m3" 0.434 -2.07494701079882 -1.17982672877406 1.7378435765449 "vd1vg05"
"128" "3_m4" 0.442 -1.7328241709035 -0.840600433106957 2.39747978093919 "vd1vg05"
"129" "4_0" 0.422 -1.03134111628001 -1.10897359849037 1.69460997071898 "vd1vg05"
"130" "4_1" 0.352 -2.33029458129634 0.0473354690387602 2.76552039683523 "vd1vg05"
"131" "4_2" 0.426 -1.54111384587542 -0.558338306518475 1.89542066602478 "vd1vg05"
"132" "4_m1" 0.426 -1.89254454473102 -0.587123956886419 1.88909701741001 "vd1vg05"
"133" "4_m2" 0.418 -0.988780857155998 1.74272224884842 4.17884175206593 "vd1vg05"
"134" "4_m3" 0.402 -1.56720990817602 -1.09753454648881 1.86246574262996 "vd1vg05"
"135" "5_0" 0.41 -1.53668888076175 -0.741236598524985 1.67967034090981 "vd1vg05"
"136" "5_1" 0.434 -1.71388387416442 0.763697101388619 2.88844692525916 "vd1vg05"
"137" "5_2" 0.402 -1.449709990929 -0.846120014016808 2.02142964871518 "vd1vg05"
"138" "5_m2" 0.388 -1.42342312501254 0.997680359414943 2.68679860316702 "vd1vg05"
"139" "6_0" 0.414 -1.52655075792081 -0.616788397112643 2.0491431925453 "vd1vg05"
"140" "6_m1" 0.43 -1.36841728896674 -0.559008623786884 1.9951679735708 "vd1vg05"
"141" "m1_0" 0.434 -1.3519376279829 -0.425965181542242 1.66917641425795 "vd1vg05"
"142" "m1_1" 0.41 -1.74116088838944 -1.72687086956424 1.28734476426026 "vd1vg05"
"143" "m1_2" 0.392 -1.59872462048507 -0.763773654057015 1.51508809217711 "vd1vg05"
"144" "m1_3" 0.394 -1.18209995733181 -0.372394853366472 1.87298991305041 "vd1vg05"
"145" "m1_4" 0.43 -1.75744271360771 -0.856887469574286 1.6051865078819 "vd1vg05"
"146" "m1_5" 0.366 -1.39987425383274 -0.550855549584107 1.92556430734697 "vd1vg05"
"147" "m1_m1" 0.434 -1.42734915736783 -0.957735587953938 1.68705831301264 "vd1vg05"
"148" "m1_m2" 0.394 -1.84969682808564 -0.102326283262254 2.40441691854679 "vd1vg05"
"149" "m1_m3" 0.414 -1.61772784246172 -0.755754364890397 2.18000827397357 "vd1vg05"
"150" "m1_m5" 0.438 -1.48958113092312 -0.347552292789029 2.47075994396659 "vd1vg05"
"151" "m1_m6" 0.41 -1.01634480884545 0.0534882371224974 2.84692438541186 "vd1vg05"
"152" "m2_0" 0.414 -1.55781170388994 -1.32975378337251 1.76996488264377 "vd1vg05"
"153" "m2_1" 0.422 -1.15499009054425 -0.543865415030286 1.82326027789874 "vd1vg05"
"154" "m2_2" 0.418 -1.69232157832471 -0.446146945961349 1.6988968542841 "vd1vg05"
"155" "m2_3" 0.37 -1.78881042667602 -1.05930909740518 1.76055683606066 "vd1vg05"
"156" "m2_4" 0.394 -1.52390748907521 -1.46943127408134 1.80250186878336 "vd1vg05"
"157" "m2_m1" 0.438 -1.33122292335528 -1.35608995701195 1.93043838355232 "vd1vg05"
"158" "m2_m2" 0.414 -1.26001603703456 -0.487923343431163 2.2960596870515 "vd1vg05"
"159" "m2_m3" 0.422 -1.59455677057232 -0.363218594488313 2.80035353618028 "vd1vg05"
"160" "m2_m4" 0.422 -2.00364614745787 -0.360734839614064 2.09881957739532 "vd1vg05"
"161" "m3_2" 0.374 -1.28254613482632 -0.898090209846281 1.99114633401392 "vd1vg05"
"162" "m3_3" 0.41 -1.29680313520237 -0.595699531084694 1.5832698939335 "vd1vg05"
"163" "m3_m1" 0.43 -1.44481528054371 -0.395880844243326 1.8291452212547 "vd1vg05"
"164" "m3_m2" 0.426 -2.31184892801214 -0.572099557384306 2.27765928782999 "vd1vg05"
"165" "m3_m3" 0.422 -1.50125624428187 -1.03359496562214 1.99911372652908 "vd1vg05"
"166" "m3_m4" 0.418 -1.69728430057817 -0.552153091379655 1.48264295669722 "vd1vg05"
"167" "m4_0" 0.408 -1.07118589266223 -0.358861254630181 2.15581565796471 "vd1vg05"
"168" "m4_1" 0.41 -1.30377642553502 -0.847161955466497 1.83387685087243 "vd1vg05"
"169" "m4_2" 0.394 -1.71562457198616 -0.685070729101643 2.76123858448832 "vd1vg05"
"170" "m4_m2" 0.422 -1.00531683182628 -1.26948348243414 1.81207941953331 "vd1vg05"
"171" "m4_m3" 0.414 -1.91866840513377 -0.927109213871514 1.83316698838398 "vd1vg05"
"172" "m5_0" 0.422 -1.34805942101187 -0.326101750475505 2.4905582743354 "vd1vg05"
"173" "m5_1" 0.4 -0.777483767354038 -0.638613645353946 1.73835288353462 "vd1vg05"
"174" "m5_2" 0.496 -1.25449820649971 -1.12649193760245 1.68650176319855 "vd1vg05"
"175" "m5_m1" 0.438 -1.27809041416829 -1.09875864820901 1.73060771838066 "vd1vg05"
"176" "m5_m2" 0.41 -1.98638631590325 -0.4951155266459 2.21543864188422 "vd1vg05"
"177" "m6_0" 0.438 -1.70467171366498 -1.08182119104247 1.73306774422152 "vd1vg05"
"178" "m6_m1" 0.41 -0.889715414601472 0.414338354196985 3.06392752642218 "vd1vg05"
