"";"p0";"h";"phiZero";"phiOne";"phiTwo";"zeroVariance";"firstVariance";"secondVariance";"ESS";"LeftIntervalZero";"RightIntervalZero";"LeftIntervalFirst";"RightIntervalFirst";"LeftIntervalSecond";"RightIntervalSecond";"ZeroInZero";"ZeroSmallerZero";"ZeroBiggerZero";"ZeroInFirst";"ZeroSmallerFirst";"ZeroBiggerFirst";"ZeroInSecond";"ZeroSmallerSecond";"ZeroBiggerSecond";"ColorCodeZero";"ColorCodeFirst";"ColorCodeSecond";"distanceZero";"distanceFirst";"distanceSecond"
"1";0,02;0,0408163265306122;0,000921998462697786;0,105029332325246;0,897354377729536;NA;NA;NA;6,58600131046536;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"2";0,04;0,0408163265306122;0,00308645233316387;0,125979358435557;1,73319834766978;NA;NA;NA;8,23617102124363;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"3";0,06;0,0408163265306122;0,00582433410583714;0,166234504179716;1,94764662224828;NA;NA;NA;9,32704963000191;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"4";0,08;0,0408163265306122;0,00948074664886093;0,205778550382529;1,52849946490574;NA;NA;NA;9,89627707098643;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"5";0,1;0,0408163265306122;0,013870335915595;0,224654614094456;0,817660431811261;NA;NA;NA;10,1307145348487;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"6";0,12;0,0408163265306122;0,0184081445965241;0,214974889673792;0,362887707560088;NA;NA;NA;10,2069155172557;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"7";0,14;0,0408163265306122;0,0225089747718269;0,185497760116641;0,701434867460521;NA;NA;NA;10,2264606450772;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"8";0,16;0,0408163265306122;0,0259741816057382;0,161282515235916;2,22652851563393;NA;NA;NA;10,2304161826577;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"9";0,18;0,0408163265306122;0,0293483234052882;0,189131572714826;4,99545661286372;NA;NA;NA;10,2310477217041;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"10";0,2;0,0408163265306122;0,0343163936575216;0,330690853807973;8,27475191536008;NA;NA;NA;10,2311272563892;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"11";0,22;0,0408163265306122;0,043456347245672;0,599931334850528;10,4752194373273;NA;NA;NA;10,2311351559921;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"12";0,24;0,0408163265306122;0,058524750267143;0,899174950756468;10,4964550018237;NA;NA;NA;10,2311357746847;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"13";0,26;0,0408163265306122;0,0787067865090061;1,09638691316852;9,3699078223643;NA;NA;NA;10,2311358128874;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"14";0,28;0,0408163265306122;0,101703941860402;1,1982643269687;9,41412359159959;NA;NA;NA;10,2311358147469;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"15";0,3;0,0408163265306122;0,127052208706119;1,36010924913304;11,23428341741;NA;NA;NA;10,2311358148182;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"16";0,32;0,0408163265306122;0,157220020106132;1,68109099086297;12,6476391695207;NA;NA;NA;10,2311358148204;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"17";0,34;0,0408163265306122;0,194761261885629;2,06855170678326;11,1608600566428;NA;NA;NA;10,2311358148204;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"18";0,36;0,0408163265306122;0,239147576068482;2,33692156894674;6,69119863501408;NA;NA;NA;10,2311358148204;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"19";0,38;0,0408163265306122;0,286691953219968;2,37926507238534;1,61834699433996;NA;NA;NA;10,2311358148204;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"20";0,4;0,0408163265306122;0,333165400732052;2,25384150899033;-1,3006595046323;NA;NA;NA;10,2311358148204;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"21";0,42;0,0408163265306122;0,376998473071996;2,14934615257056;-1,56059099893358;NA;NA;NA;10,2311358148204;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"22";0,44;0,0408163265306122;0,420169955154154;2,18945066534319;-1,77323621221516;NA;NA;NA;10,2311358148204;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"23";0,46;0,0408163265306122;0,464740142565222;2,24975801534833;-4,63150325576437;NA;NA;NA;10,2311358148204;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"24";0,48;0,0408163265306122;0,508738360298109;2,10582674275856;-9,0977811080137;NA;NA;NA;10,2311358148204;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"25";0,5;0,0408163265306122;0,547519199297931;1,75273994176837;-11,584714713359;NA;NA;NA;10,2311358148204;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"26";0,52;0,0408163265306122;0,578920081865594;1,4069274168763;-10,6290239819369;NA;NA;NA;10,2311358148204;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"27";0,54;0,0408163265306122;0,604825196971025;1,20666464576035;-8,11804178244353;NA;NA;NA;10,2311358148204;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"28";0,56;0,0408163265306122;0,627662903319853;1,07718359406328;-5,83885428859682;NA;NA;NA;10,2311358148204;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"29";0,58;0,0408163265306122;0,647709760967682;0,925042921018132;-2,9916978231516;NA;NA;NA;10,2311358148204;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"30";0,6;0,0408163265306122;0,665101650527829;0,842078396724026;1,6866245885115;NA;NA;NA;10,2311358148204;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"31";0,62;0,0408163265306122;0,68305540074582;1,00059969232942;6,51187802105594;NA;NA;NA;10,2311358148204;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"32";0,64;0,0408163265306122;0,706611726358681;1,37214557131255;7,58280739842366;NA;NA;NA;10,2311358148204;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"33";0,66;0,0408163265306122;0,737522334686526;1,68233018574427;3,23897459390976;NA;NA;NA;10,2311358148204;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"34";0,68;0,0408163265306122;0,771831246963726;1,69198571532972;-3,73777662763992;NA;NA;NA;10,2311358148204;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"35";0,7;0,0408163265306122;0,803325039472073;1,42620873434932;-9,05762520436088;NA;NA;NA;10,2311358148201;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"36";0,72;0,0408163265306122;0,82833989101509;1,07680792715819;-10,7997337737836;NA;NA;NA;10,2311358148073;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"37";0,74;0,0408163265306122;0,846800974787615;0,783770603905409;-9,74729376745712;NA;NA;NA;10,2311358144321;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"38";0,76;0,0408163265306122;0,860280266101624;0,577940099416081;-7,34229323206369;NA;NA;NA;10,2311358057492;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"39";0,78;0,0408163265306122;0,87041558397422;0,446901191502427;-4,42949810488721;NA;NA;NA;10,2311356473711;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"40";0,8;0,0408163265306122;0,878593030131977;0,382084069610304;-1,28427263278579;NA;NA;NA;10,2311333699571;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"41";0,82;0,0408163265306122;0,88620966672205;0,394419645360046;1,92087776849891;NA;NA;NA;10,2311075489131;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"42";0,84;0,0408163265306122;0,895037925507504;0,504965291035381;4,57189045137658;NA;NA;NA;10,2308766815996;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"43";0,86;0,0408163265306122;0,907022315352717;0,699174848737631;5,55048344502302;NA;NA;NA;10,2292485915093;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
