"";"p0";"h";"phiZero";"phiOne";"phiTwo";"zeroVariance";"firstVariance";"secondVariance";"ESS";"LeftIntervalZero";"RightIntervalZero";"LeftIntervalFirst";"RightIntervalFirst";"LeftIntervalSecond";"RightIntervalSecond";"ZeroInZero";"ZeroSmallerZero";"ZeroBiggerZero";"ZeroInFirst";"ZeroSmallerFirst";"ZeroBiggerFirst";"ZeroInSecond";"ZeroSmallerSecond";"ZeroBiggerSecond";"ColorCodeZero";"ColorCodeFirst";"ColorCodeSecond";"distanceZero";"distanceFirst";"distanceSecond"
"1";0,04;0,0833333333333333;0,00808337184685197;0,193934784564611;-2,51384485757827;NA;NA;NA;6,69375300600371;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"2";0,08;0,0833333333333333;0,0102792211491366;0,191920556900317;7,46902629198479;NA;NA;NA;8,35660956838242;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"3";0,12;0,0833333333333333;0,0198542900006516;0,636865348477444;12,0437983534446;NA;NA;NA;9,47414064488982;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"4";0,16;0,0833333333333333;0,0530776402059179;1,20537101396521;11,3468520009188;NA;NA;NA;10,0725786803772;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"5";0,2;0,0833333333333333;0,109777115689526;1,58971067536497;7,60675501500534;NA;NA;NA;10,3279124030405;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"6";0,24;0,0833333333333333;0,177438855857671;1,67322363347818;4,16952408031906;NA;NA;NA;10,4147070556686;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"7";0,28;0,0833333333333333;0,244202914156036;1,61989420723893;3,26152594746007;NA;NA;NA;10,4382105551922;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"8";0,32;0,0833333333333333;0,310380362686666;1,73046998857473;4,21393918226118;NA;NA;NA;10,4432802213731;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"9";0,36;0,0833333333333333;0,386278793569173;2,09755680038455;4,27883582410766;NA;NA;NA;10,4441511459914;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"10";0,4;0,0833333333333333;0,477820861033997;2,44416029854072;1,69480525647272;NA;NA;NA;10,4442702918475;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"11";0,44;0,0833333333333333;0,577105307032338;2,45374243968663;-2,40012139141394;NA;NA;NA;10,4442832700016;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"12";0,48;0,0833333333333333;0,669741009437622;2,14252411871393;-5,65024974567023;NA;NA;NA;10,4442843945267;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"13";0,52;0,0833333333333333;0,747238828982529;1,73103687009046;-7,071082822307;NA;NA;NA;10,4442844534769;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
"14";0,56;0,0833333333333333;0,808578687340429;1,34262131887591;-7,04140385269946;NA;NA;NA;10,4442841534995;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"grey";"grey";"grey";9999;9999;9999
