"i.n" "phi.n"
"1" 0.01 1.49784342319616e-05
"2" 0.02 0.000413570747384729
"3" 0.03 0.00242819218861548
"4" 0.04 0.00362041433105695
"5" 0.05 0.00434200120789872
"6" 0.06 0.00618761513149897
"7" 0.07 0.00696358428438183
"8" 0.08 0.00792432342853762
"9" 0.09 0.0132951729326496
"10" 0.1 0.0133317319509959
"11" 0.11 0.0140466053689995
"12" 0.12 0.0198469985231189
"13" 0.13 0.023648182828446
"14" 0.14 0.0241568822129337
"15" 0.15 0.0250021403202664
"16" 0.16 0.0254462638908953
"17" 0.17 0.0262706711110891
"18" 0.18 0.0338435280648158
"19" 0.19 0.0353365140481361
"20" 0.2 0.0353621098340127
"21" 0.21 0.0355689854321706
"22" 0.22 0.038909938081955
"23" 0.23 0.0395611374549194
"24" 0.24 0.0578819188347342
"25" 0.25 0.0583269099942145
"26" 0.26 0.0827870931498769
"27" 0.27 0.107565011570591
"28" 0.28 0.108481965185597
"29" 0.29 0.118929875781682
"30" 0.3 0.119967411596052
"31" 0.31 0.137742852122189
"32" 0.32 0.153761661817979
"33" 0.33 0.165011847255681
"34" 0.34 0.182010481396205
"35" 0.35 0.21831445695988
"36" 0.36 0.255558184903849
"37" 0.37 0.257881043877682
"38" 0.38 0.28104417778688
"39" 0.39 0.2994658071207
"40" 0.4 0.354705331958879
"41" 0.41 0.369456729936475
"42" 0.42 0.388479728827974
"43" 0.43 0.392605054540835
"44" 0.44 0.401449165626541
"45" 0.45 0.418057792274988
"46" 0.46 0.459042254725748
"47" 0.47 0.498991639840227
"48" 0.48 0.51338316033094
"49" 0.49 0.545982196110932
"50" 0.5 0.558414063832063
"51" 0.51 0.563731143086177
"52" 0.52 0.570234781123884
"53" 0.53 0.598039422203067
"54" 0.54 0.601889869939172
"55" 0.55 0.610248658264144
"56" 0.56 0.610303827566297
"57" 0.57 0.648681788429449
"58" 0.58 0.66298979836729
"59" 0.59 0.665874838839331
"60" 0.6 0.667371972602235
"61" 0.61 0.673200229954315
"62" 0.62 0.675302764261053
"63" 0.63 0.687820508997482
"64" 0.64 0.68965634387972
"65" 0.65 0.701895904620151
"66" 0.66 0.742264074849163
"67" 0.67 0.749416256118223
"68" 0.68 0.79149324526347
"69" 0.69 0.801440906613188
"70" 0.7 0.801946540773739
"71" 0.71 0.814040502662092
"72" 0.72 0.831499417803399
"73" 0.73 0.841293593090841
"74" 0.74 0.844253123336268
"75" 0.75 0.855902457024023
"76" 0.76 0.862540853694588
"77" 0.77 0.866726376088407
"78" 0.78 0.869180598351735
"79" 0.79 0.870386657310198
"80" 0.8 0.879048380931021
"81" 0.81 0.886179528162993
"82" 0.82 0.888320343529579
"83" 0.83 0.890660450102936
"84" 0.84 0.891409726026286
"85" 0.85 0.898724675790869
"86" 0.86 0.903363873730943
"87" 0.87 0.906799319101694
"88" 0.88 0.916498444105633
"89" 0.89 0.942613922258503
"90" 0.9 0.943574852826119
"91" 0.91 0.948978113629301
"92" 0.92 0.95559671819741
"93" 0.93 0.973892805314311
"94" 0.94 0.99314896789294
"95" 0.95 0.993775002322701
"96" 0.96 0.995419747035428
"97" 0.97 0.996036578164649
"98" 0.98 0.996595129737058
"99" 0.99 0.996902719507664
"100" 1 1
